dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0604,0.06,-0.0,-0.0493,0.0083,0.0215,349.2439,358.3985,302.8754,0.0346,0.0642,-0.076,3.2264,5.2761
0.1213,0.1219,0.001,0.0036,-0.0348,0.0376,349.2299,358.0941,303.5409,0.0342,0.0642,-0.0706,3.4394,5.0629
0.1817,0.1754,-0.006,0.062,0.0296,-0.0537,349.1891,357.5276,304.0854,0.0369,0.0622,-0.0635,3.5361,4.4467
0.2481,0.2408,-0.007,0.0029,0.0219,0.0331,349.6973,357.2527,304.3127,0.0405,0.0625,-0.0538,3.4328,3.8699
0.3184,0.2924,-0.026,0.0663,0.0179,-0.0463,350.1676,357.0739,304.4959,0.0451,0.0626,-0.0417,3.2281,3.9486
0.3848,0.398,0.013,0.0322,-0.0426,0.0447,350.4507,356.1021,305.5033,0.0518,0.0618,-0.0278,3.75,3.8175
0.4467,0.4622,0.016,-0.0432,-0.0106,0.0687,350.6002,355.7154,305.9979,0.06,0.061,-0.0123,3.5915,3.0949
0.5131,0.5137,0.001,0.0074,0.0017,0.0493,350.5979,355.5887,306.3276,0.0686,0.0606,0.0061,3.5259,3.0842
0.575,0.565,-0.01,0.0014,0.0249,0.0332,350.4967,355.1527,306.9012,0.077,0.0583,0.0282,2.7311,3.0031
0.634,0.6152,-0.019,-0.013,-0.042,0.0613,350.3784,355.0897,307.1222,0.0822,0.0557,0.0475,2.4119,3.2429
0.6979,0.7177,0.02,-0.0267,0.0101,0.0536,349.7107,355.267,307.494,0.0862,0.0538,0.0717,4.1179,2.6886
0.7588,0.7683,0.009,-0.0385,-0.0312,0.0855,349.136,355.1277,307.9932,0.0889,0.0551,0.1027,4.8854,2.6238
0.8187,0.8216,0.003,-0.0308,0.0211,0.0344,348.5354,355.2318,308.1536,0.0904,0.054,0.1316,4.3167,2.5754
0.8786,0.8881,0.009,0.0047,-0.0268,0.0657,348.184,355.2676,308.5276,0.0922,0.0516,0.169,5.5008,2.9877
0.938,0.9385,0.001,0.063,-0.0167,0.0646,348.2486,355.1491,308.7901,0.0932,0.0482,0.2028,5.7991,3.4306
0.9909,0.9904,-0.001,0.0876,0.0164,0.0807,348.6227,354.0986,309.9231,0.0957,0.044,0.2509,5.3851,4.2426
1.0438,1.0405,-0.003,-0.0224,0.0578,0.0804,348.6764,353.946,310.1272,0.0981,0.0411,0.2925,5.3049,4.5243
1.1012,1.0913,-0.01,0.0221,-0.0641,0.0583,348.5075,353.6044,310.578,0.102,0.0424,0.3326,4.8697,4.4788
1.1591,1.1436,-0.016,0.0205,-0.0035,0.0442,348.568,353.3742,310.8375,0.108,0.0452,0.3883,6.1255,5.8966
1.2125,1.1943,-0.018,0.0149,-0.0675,0.0938,348.4248,352.7472,311.4627,0.1158,0.0543,0.4313,5.9314,6.1447
1.2645,1.245,-0.019,0.0087,0.0118,0.0682,348.5555,352.3323,311.8947,0.1228,0.0609,0.4738,4.3872,6.492
1.3219,1.3015,-0.02,-0.0332,0.0339,0.0646,348.7325,351.9103,312.3344,0.1329,0.0686,0.5266,3.7527,7.2539
1.3748,1.3637,-0.011,0.0008,0.0805,0.0189,349.0421,351.9771,312.4492,0.1419,0.0696,0.5706,3.5511,8.1896
1.4272,1.4141,-0.013,-0.0244,0.0581,0.0128,348.8998,351.9429,312.6069,0.1497,0.067,0.6126,3.3154,8.8706
1.4821,1.4654,-0.017,-0.0247,0.1808,-0.0976,349.2119,353.3264,311.4044,0.1567,0.0643,0.6533,3.4069,8.7492
1.5405,1.5187,-0.022,-0.0647,0.0716,-0.0623,349.3179,354.1279,310.752,0.1694,0.0606,0.7101,3.8217,8.9944
1.5949,1.5867,-0.008,-0.0142,-0.0961,-0.0659,349.8734,355.3518,309.7729,0.1789,0.055,0.7612,3.3956,8.3883
1.6474,1.6596,0.012,0.0211,-0.1257,-0.0197,350.0017,355.8491,309.4153,0.1874,0.0489,0.8108,2.7518,7.9474
1.7033,1.7224,0.019,0.0408,-0.0323,-0.047,350.4678,356.3323,308.9692,0.1985,0.0477,0.8764,1.906,6.9756
1.7572,1.7915,0.034,-0.0127,-0.0482,0.0231,350.8782,356.8518,308.2827,0.2084,0.0483,0.9297,2.1861,6.3223
1.8081,1.7915,-0.017,-0.0127,-0.0482,0.0231,350.8782,356.8518,308.2827,0.2182,0.0533,0.9829,2.1288,5.2169
1.8585,1.857,-0.002,-0.0009,-0.07,0.0689,350.9117,356.7693,308.1373,0.2289,0.0594,1.033,1.2112,5.4272
1.907,1.9091,0.002,-0.0055,0.0276,0.0371,350.8347,356.8409,307.9026,0.2375,0.0646,1.079,3.2522,5.6691
1.9733,1.9611,-0.012,0.0205,0.0857,0.0122,350.617,356.4209,308.2355,0.2473,0.0782,1.1401,3.6153,5.7144
2.0407,2.0278,-0.013,0.0095,0.0144,0.0578,349.9883,355.275,309.2057,0.2575,0.0824,1.201,2.7637,5.8917
2.1071,2.1293,0.022,-0.0028,-0.0031,-0.0166,349.5735,355.0175,309.1424,0.2697,0.0781,1.2628,3.5313,6.1512
2.1636,2.1809,0.017,-0.0206,0.1737,-0.0745,349.6537,355.2223,308.7935,0.2774,0.0716,1.3124,3.0652,6.0616
2.217,2.2308,0.014,0.0155,0.0138,-0.1081,349.845,355.8623,307.972,0.2853,0.065,1.3645,2.2779,6.6201
2.2714,2.2821,0.011,-0.0139,-0.11,-0.0643,350.1059,356.1773,307.5353,0.2967,0.0586,1.4358,0.9336,7.5125
2.3238,2.3337,0.01,-0.0241,-0.198,-0.0462,350.1807,356.525,307.0117,0.3048,0.0585,1.4907,0.5867,8.3052
2.3777,2.3845,0.007,0.0352,-0.1317,-0.0169,350.6479,356.8601,306.5017,0.3112,0.063,1.5402,0.7457,8.1053
2.4321,2.4512,0.019,0.0054,-0.0329,0.0415,350.4082,356.7654,306.4765,0.3193,0.0734,1.588,0.4143,8.739
2.4835,2.5026,0.019,-0.0025,-0.005,0.0393,350.3621,356.8732,306.284,0.3305,0.0826,1.654,0.1175,9.362
2.539,2.5535,0.014,-0.0263,0.1201,0.0289,350.4473,357.0945,306.0656,0.341,0.0947,1.6972,1.4578,9.9252
2.6049,2.6046,-0.0,0.0319,0.1296,-0.0084,350.694,356.7453,306.3868,0.3547,0.102,1.7578,1.08,10.0884
2.6558,2.6559,0.0,-0.0363,0.2103,0.015,350.8427,356.5775,306.5709,0.3644,0.0999,1.8014,1.4611,10.4101
2.7247,2.7072,-0.018,-0.0274,0.0723,0.0235,350.2273,356.2506,307.0264,0.3759,0.0927,1.8599,1.7941,10.5396
2.7731,2.758,-0.015,-0.0401,0.0218,-0.0558,349.6576,356.0043,307.4276,0.3861,0.0846,1.9069,1.8801,10.7583
2.8245,2.8084,-0.016,-0.0512,0.1131,-0.0948,349.9003,356.4793,307.1014,0.3967,0.0754,1.9575,1.4005,10.6149
2.8759,2.8593,-0.017,-0.0079,-0.1504,-0.0366,350.0367,356.4878,307.1389,0.4056,0.0683,2.0106,0.535,9.7741
2.9289,2.9111,-0.018,0.0124,-0.1848,-0.005,349.9144,356.6512,307.0673,0.4145,0.0657,2.062,359.8805,9.5237
2.9808,2.9618,-0.019,0.0646,-0.1307,-0.0299,350.1905,356.6116,307.1539,0.4201,0.0697,2.1102,1.2504,8.4741
3.0387,3.0635,0.025,0.0198,-0.0637,0.0674,350.0397,355.7522,308.0753,0.4279,0.083,2.1757,359.1796,7.2283
3.0911,3.1151,0.024,0.0814,0.0338,0.0596,349.7959,355.2532,308.5463,0.4316,0.0873,2.2255,359.7845,6.9903
