dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0504,0.067,0.017,-0.0557,0.0115,0.0658,-0.012,-0.0019,-0.0119,0.0193,0.0787,0.0816,0.8473,0.0218
0.1183,0.1342,0.016,-0.0525,0.0075,0.0674,0.0083,-0.011,-0.0038,0.0182,0.0772,0.0821,1.4554,359.8744
0.1877,0.1851,-0.003,-0.0499,0.0092,0.0573,0.005,-0.0071,0.0028,0.018,0.0782,0.0851,1.0064,359.1722
0.2605,0.2365,-0.024,-0.0483,0.0119,0.0548,-0.013,-0.0066,0.0185,0.0194,0.0789,0.0866,0.8394,359.9638
0.3254,0.3383,0.013,-0.0409,0.0004,0.0519,-0.0042,-0.0044,0.0106,0.0184,0.0803,0.0918,0.5473,0.1103
0.3968,0.3915,-0.005,-0.0403,-0.001,0.0451,0.0105,-0.0025,-0.0019,0.0165,0.0816,0.1003,0.3045,0.4367
0.4637,0.4576,-0.006,-0.0366,0.0065,0.0388,0.0187,0.0104,-0.0134,0.0137,0.0812,0.1077,0.3922,0.2796
0.5381,0.5597,0.022,-0.0426,0.0018,0.0312,0.0088,0.0105,-0.0004,0.0077,0.0809,0.1194,0.2659,0.8027
0.6125,0.6113,-0.001,-0.0453,-0.0028,0.0316,0.0094,0.0029,0.0022,0.0005,0.0814,0.1368,0.016,1.0969
0.6829,0.6626,-0.02,-0.0475,-0.0066,0.0343,0.0132,-0.0118,-0.016,-0.0022,0.0801,0.1473,359.4546,1.6855
0.7533,0.7641,0.011,-0.0507,-0.0156,0.0322,0.0211,-0.0207,-0.0158,-0.009,0.077,0.1645,359.2657,1.9289
0.8197,0.8143,-0.005,-0.0572,-0.019,0.0301,0.0335,-0.0317,-0.0098,-0.0097,0.0747,0.1831,359.3208,1.6484
0.8906,0.8815,-0.009,-0.0583,-0.0142,0.0312,0.0361,-0.0465,-0.0021,-0.0053,0.0775,0.202,359.8253,2.001
0.9614,0.9847,0.023,-0.0581,-0.019,0.036,0.0178,-0.0452,0.002,-0.0031,0.0814,0.2194,359.942,2.6692
1.0268,1.0364,0.01,-0.0639,-0.0105,0.0383,0.0043,-0.0578,0.0034,-0.002,0.0838,0.2418,0.4015,2.5071
1.0962,1.1021,0.006,-0.0715,0.0068,0.0314,-0.0197,-0.0778,0.011,-0.0021,0.0805,0.2599,0.6454,2.0217
1.1611,1.1544,-0.007,-0.0706,0.0174,0.0184,-0.0312,-0.0768,0.0044,0.0001,0.076,0.2862,0.8253,1.8582
1.2175,1.2052,-0.012,-0.0677,0.0166,0.0168,-0.0491,-0.0508,0.0071,0.0026,0.0712,0.3166,1.2116,0.9415
