dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0648,0.108,0.043,-0.2604,0.0173,0.8578,-0.0068,0.0109,0.0091,0.0329,0.0788,0.1745,359.5518,4.2195
0.1342,0.1128,-0.021,-0.2583,0.0163,0.8446,-0.0122,0.0061,0.0071,0.0424,0.0759,0.1999,359.4775,3.3967
0.1956,0.1763,-0.019,-0.2494,0.0143,0.7867,0.0013,-0.0041,-0.0054,0.0434,0.0752,0.2145,0.6199,3.7618
0.264,0.2425,-0.022,-0.239,0.0195,0.7462,0.0042,-0.0023,-0.0099,0.0448,0.0799,0.2344,0.0663,3.5088
0.3294,0.3462,0.017,-0.2341,0.0211,0.6815,-0.0013,-0.0057,-0.0051,0.0442,0.0781,0.2678,0.7442,2.9646
0.3898,0.3977,0.008,-0.2319,0.0282,0.6502,-0.0124,-0.0063,0.0035,0.0474,0.078,0.2897,1.9492,2.8048
0.4482,0.4496,0.001,-0.2306,0.0351,0.6201,-0.0304,-0.0206,0.0116,0.0479,0.0767,0.3233,2.7972,2.5232
0.5002,0.5,-0.0,-0.2323,0.0399,0.5963,-0.0523,-0.0235,0.0229,0.0496,0.0734,0.3574,2.9212,2.5648
0.5586,0.5511,-0.007,-0.2372,0.0364,0.5738,-0.0452,-0.0408,0.0185,0.0506,0.0677,0.3979,2.9063,2.6651
0.6135,0.6192,0.006,-0.2387,0.0419,0.5406,-0.0322,-0.0503,0.0161,0.0533,0.0613,0.4542,2.2428,2.8599
0.6689,0.6846,0.016,-0.2338,0.0467,0.5095,-0.0357,-0.0522,0.0383,0.0549,0.0567,0.506,1.6446,2.7003
0.7213,0.7359,0.015,-0.2338,0.0436,0.4864,-0.0423,-0.0481,0.0472,0.0556,0.0542,0.5572,1.389,2.592
0.7727,0.7877,0.015,-0.2303,0.0355,0.4528,-0.0303,-0.0433,0.0344,0.0556,0.0549,0.6068,2.001,3.151
0.8247,0.8388,0.014,-0.2311,0.0209,0.4428,-0.0192,-0.0375,0.0234,0.0532,0.0635,0.6487,2.3208,1.0302
0.8791,0.8905,0.011,-0.2313,0.0173,0.4301,0.0074,-0.0552,0.0016,0.0548,0.0691,0.6948,1.6573,1.5038
