dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0574,0.105,0.048,-0.1826,0.0537,-0.9854,0.3264,-0.0857,0.5367,0.1608,-0.0725,3.0592,0.3495,186.3431
0.1158,0.105,-0.011,-0.1826,0.0537,-0.9854,0.3264,-0.0857,0.5367,0.158,-0.0727,3.0417,0.5771,186.0107
0.1792,0.1551,-0.024,-0.1572,0.1025,-1.0986,0.2877,-0.0636,0.4723,0.156,-0.073,3.0258,1.1594,185.8928
0.2361,0.259,0.023,-0.2285,0.0596,-0.9463,0.1913,0.014,0.3472,0.1535,-0.075,3.0041,1.6694,185.7846
0.3075,0.3109,0.003,-0.2471,0.0508,-1.0234,0.1503,0.028,0.276,0.1491,-0.0782,2.976,1.9086,185.4164
0.3664,0.3618,-0.005,-0.248,0.0488,-0.9805,0.1147,0.0258,0.2098,0.1439,-0.0832,2.945,2.6791,185.2925
0.4278,0.4128,-0.015,-0.2598,0.0615,-0.9756,0.0921,0.0238,0.1718,0.1355,-0.0877,2.9068,2.3267,185.3737
0.4822,0.4637,-0.019,-0.2441,0.0605,-0.9893,0.0487,0.0215,0.1404,0.1287,-0.0895,2.8758,2.5968,184.9951
0.5371,0.5142,-0.023,-0.2666,0.0449,-0.9717,0.0187,0.02,0.1377,0.1211,-0.09,2.8423,1.498,184.9528
0.588,0.5662,-0.022,-0.2559,0.0811,-0.9443,-0.0039,0.0101,0.0935,0.1149,-0.0893,2.8095,1.3443,184.8473
0.6394,0.633,-0.006,-0.2783,0.0771,-0.9814,-0.0146,-0.0281,0.0585,0.1085,-0.0868,2.7746,0.4712,184.6321
0.6944,0.6843,-0.01,-0.2529,0.0928,-1.0068,-0.0285,-0.0831,0.0129,0.1011,-0.085,2.7235,359.1808,184.0196
0.7453,0.735,-0.01,-0.2637,0.082,-1.0361,-0.0428,-0.0789,-0.0007,0.0963,-0.0785,2.6886,0.8167,182.2918
0.8077,0.7869,-0.021,-0.2568,0.0703,-1.0439,-0.0505,-0.0717,-0.0186,0.0889,-0.0685,2.6495,358.7828,182.2503
0.8626,0.8369,-0.026,-0.251,0.0439,-1.0576,-0.0439,-0.0796,-0.0355,0.0854,-0.0696,2.6197,357.4536,182.4545
0.917,0.9393,0.022,-0.2344,0.0098,-0.9619,-0.0007,-0.0657,-0.015,0.0826,-0.0697,2.5917,358.589,181.5458
0.9759,0.991,0.015,-0.0908,0.0752,-1.2598,0.0309,-0.0418,-0.009,0.0771,-0.0689,2.5554,359.813,181.1339
1.0288,1.0417,0.013,-0.1055,0.1055,-1.0,0.0333,0.0146,0.0535,0.0729,-0.0703,2.5255,0.1355,180.8443
1.0982,1.093,-0.005,-0.1699,0.0566,-0.8916,0.0355,0.0725,0.1097,0.0683,-0.0727,2.4826,359.9513,180.5618
