dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0609,0.081,0.02,0.0756,0.0696,-0.0017,-0.1265,0.1195,-0.0476,0.0705,0.0316,0.2242,4.4808,5.0249
0.1268,0.1329,0.006,0.09,-0.0372,-0.0235,-0.0833,0.0977,-0.0265,0.0738,0.0303,0.2265,4.623,4.932
0.1857,0.185,-0.001,0.0459,0.0175,-0.032,-0.043,0.0842,-0.0033,0.0776,0.0303,0.2284,4.6154,5.1864
0.2466,0.2361,-0.011,-0.0085,0.0084,-0.0436,0.0023,0.0641,0.0285,0.0812,0.029,0.2318,4.7213,5.3118
0.306,0.2872,-0.019,0.0034,-0.0225,-0.0365,0.0064,0.0724,0.0411,0.085,0.028,0.2382,5.1449,5.2476
0.3684,0.3896,0.021,0.0133,-0.0249,-0.0305,0.0382,0.0764,0.0447,0.0887,0.0279,0.246,5.2202,4.8508
0.4263,0.4557,0.029,-0.0058,0.0096,-0.0129,0.0424,0.0574,0.0365,0.0944,0.0273,0.2573,5.3225,4.5637
0.4887,0.5059,0.017,0.0818,-0.0035,0.0194,0.0414,0.0401,0.03,0.1025,0.0265,0.2747,4.9342,4.1486
0.5516,0.559,0.007,0.0225,-0.0313,0.0274,0.0523,0.0293,0.0287,0.1096,0.0244,0.2897,3.8243,4.0997
0.603,0.6101,0.007,0.0285,0.0222,0.017,0.0515,-0.0049,0.0276,0.1182,0.0185,0.3124,4.6816,4.1654
0.6549,0.6656,0.011,-0.0101,0.0299,0.0445,0.0406,-0.0384,0.0318,0.1241,0.0185,0.3304,5.4028,3.8041
0.7073,0.7285,0.021,-0.0282,-0.0374,0.0547,0.0161,-0.0722,0.041,0.1263,0.0199,0.3519,5.5224,3.6543
0.7598,0.7793,0.019,-0.0234,0.0175,-0.01,-0.0242,-0.0683,0.0219,0.129,0.0191,0.3801,5.1798,3.7206
0.8107,0.8311,0.02,0.0622,-0.1684,0.0899,-0.0476,-0.0764,0.0138,0.1313,0.0154,0.4114,5.3515,3.4102
0.8601,0.8816,0.022,0.0081,0.03,0.0325,-0.0389,-0.0965,0.0153,0.1318,0.011,0.4449,5.5045,3.1214
0.913,0.9324,0.019,0.0768,0.0857,0.0814,-0.0195,-0.1085,0.0178,0.131,0.0045,0.4837,5.2689,2.955
0.9629,0.9839,0.021,0.0575,-0.0346,0.1446,-0.0034,-0.1352,0.0288,0.1313,-0.0046,0.5287,5.1696,3.5262
1.0169,1.0357,0.019,0.0403,-0.0924,0.1267,0.033,-0.1718,0.055,0.1311,-0.0178,0.5992,5.2454,3.6244
1.0718,1.0859,0.014,0.0555,-0.0422,0.0638,0.0567,-0.1858,0.0838,0.1292,-0.0234,0.6664,4.3151,3.4934
1.1217,1.1388,0.017,0.0721,-0.0557,0.0764,0.0702,-0.1833,0.0953,0.1263,-0.0221,0.733,4.7794,3.359
1.1761,1.2052,0.029,-0.0001,-0.1082,0.1737,0.0697,-0.2005,0.1008,0.1223,-0.0121,0.7996,5.8444,3.7516
1.2295,1.2052,-0.024,-0.0001,-0.1082,0.1737,0.0697,-0.2005,0.1008,0.1228,0.0094,0.8605,3.6828,2.46
1.2809,1.2565,-0.024,0.0009,-0.0338,0.1868,0.0569,-0.2317,0.0983,0.1263,0.0285,0.9176,2.268,3.7038
1.3339,1.3583,0.024,0.0556,0.1181,0.2013,0.054,-0.2592,0.0912,0.1313,0.052,0.9859,0.7005,4.8564
1.3878,1.4086,0.021,0.0169,0.2928,0.0213,0.0839,-0.2282,0.1023,0.1361,0.0614,1.0366,0.6382,5.1266
1.4397,1.4599,0.02,-0.0958,0.4583,-0.1928,0.0804,-0.1319,0.0931,0.1445,0.061,1.0844,0.9876,5.5744
1.4936,1.5105,0.017,-0.1344,0.1012,-0.1622,0.0486,-0.0309,0.0631,0.151,0.0527,1.1345,0.7356,5.5109
1.548,1.5623,0.014,-0.1178,0.0783,-0.2184,0.0193,0.0339,0.0399,0.156,0.0383,1.1863,0.9462,5.3058
1.5969,1.6128,0.016,0.0118,-0.1757,-0.1761,-0.0712,0.1704,-0.0174,0.1615,0.0202,1.2436,1.2993,4.8418
1.6524,1.6652,0.013,0.0095,-0.3317,-0.0172,-0.096,0.2076,-0.0396,0.1695,-0.0034,1.328,1.6887,4.1843
1.7028,1.7158,0.013,0.0055,-0.2959,0.0111,-0.1071,0.1732,-0.0706,0.1754,-0.0159,1.4062,1.4834,2.8662
1.7562,1.7672,0.011,0.0303,-0.3078,0.0506,-0.112,0.1079,-0.0939,0.1818,-0.0157,1.4781,1.8981,1.9756
1.8076,1.8181,0.01,0.0486,-0.2507,0.0444,-0.1127,0.0902,-0.1064,0.1824,-0.0048,1.5504,1.6952,1.2903
1.8615,1.8684,0.007,-0.0015,-0.1277,0.1848,-0.1018,0.08,-0.0988,0.1862,0.015,1.6161,358.8898,0.3209
1.9169,1.9352,0.018,0.0272,0.0896,0.2067,-0.0819,0.0652,-0.089,0.19,0.0407,1.6876,359.1571,359.9081
1.9669,1.9868,0.02,-0.0206,0.3235,0.101,-0.0785,0.0654,-0.0903,0.1927,0.0574,1.7379,359.2896,0.3507
2.0223,2.0377,0.015,0.0197,0.3983,0.1857,-0.0835,0.0789,-0.0941,0.1964,0.0657,1.789,0.1272,1.6136
2.0742,2.0884,0.014,0.0129,0.452,-0.123,-0.0596,0.062,-0.097,0.2003,0.064,1.8411,0.5803,1.9379
2.1276,2.1386,0.011,0.04,0.1948,-0.2494,-0.0447,0.0449,-0.1022,0.2032,0.0563,1.897,0.2924,1.7444
2.1805,2.1913,0.011,0.0251,-0.0151,-0.1883,0.0598,0.0289,-0.0698,0.2,0.0394,1.9585,359.6012,1.989
2.2334,2.2418,0.008,-0.0251,-0.1661,-0.1132,0.0866,0.0107,-0.0521,0.1984,0.0215,2.0203,0.5305,2.0737
2.2854,2.2932,0.008,-0.0184,-0.3029,0.002,0.0576,-0.0236,-0.03,0.1957,-0.001,2.1165,0.5539,2.9173
2.3378,2.3448,0.007,0.0156,-0.2935,0.0134,0.0465,-0.0423,-0.0169,0.1929,-0.0116,2.199,0.6764,3.92
2.3887,2.3961,0.007,0.1711,-0.3251,0.1102,0.0414,-0.05,0.0008,0.1868,-0.012,2.276,0.3726,4.0023
2.4421,2.4472,0.005,0.01,-0.2593,0.0503,0.0658,-0.0555,0.0237,0.1852,-0.0033,2.3487,1.4451,4.6738
2.4955,2.4978,0.002,0.0397,-0.017,0.0963,0.0672,-0.0431,0.0307,0.1834,0.0175,2.4134,358.9736,3.3121
2.5499,2.5504,0.0,0.0104,0.0165,0.2558,0.0708,-0.0292,0.0487,0.1853,0.0356,2.4702,359.1022,4.3864
2.6009,2.6149,0.014,0.025,0.2105,0.1522,0.0656,-0.0327,0.0733,0.1908,0.0578,2.5436,359.496,4.8533
2.6543,2.6679,0.014,-0.0879,0.2065,0.0583,0.0555,-0.0321,0.0813,0.1957,0.0651,2.5981,0.5299,5.2383
2.7092,2.7182,0.009,-0.0959,0.5869,-0.2048,0.0401,0.0003,0.0772,0.2007,0.0637,2.6502,0.7306,5.6655
2.7636,2.7856,0.022,-0.1093,0.0413,-0.2158,-0.0085,0.0159,0.0703,0.2048,0.0541,2.7049,0.7902,5.8286
2.8205,2.8366,0.016,-0.0954,0.0194,-0.2189,-0.1087,0.0356,0.0451,0.2089,0.0362,2.7834,0.5755,5.057
2.8914,2.8888,-0.003,-0.0342,-0.2471,-0.0714,-0.11,0.038,0.0328,0.209,0.0053,2.8836,0.8141,3.8392
2.9593,2.9393,-0.02,0.0091,-0.2845,-0.0263,-0.0891,0.035,0.0258,0.2128,-0.0093,2.9839,359.8311,2.6845
3.0272,3.0413,0.014,0.0736,-0.2849,0.048,-0.0529,0.029,0.0143,0.2155,-0.0081,3.0856,359.4311,1.105
3.0926,3.0924,-0.0,0.1425,-0.2174,0.1131,-0.0399,0.0297,0.0068,0.2224,0.0183,3.1677,357.4034,359.5604
3.143,3.143,0.0,0.0219,-0.1225,0.1771,-0.0321,0.0203,0.0016,0.2249,0.0335,3.191,358.4336,359.9678
3.2084,3.1951,-0.013,0.0028,0.1867,0.133,-0.0246,0.0221,-0.011,0.2285,0.0599,3.2605,359.3793,359.9073
3.2683,3.2463,-0.022,0.0058,0.3505,0.073,-0.0206,0.0373,-0.0315,0.2286,0.0656,3.3065,0.0046,359.6337
3.3222,3.2971,-0.025,0.0269,0.3905,-0.1362,-0.0192,0.0754,-0.0427,0.2287,0.0605,3.3404,0.5119,359.5443
3.3826,3.3987,0.016,0.035,0.1451,-0.2281,0.0161,0.1691,-0.0348,0.2294,0.0546,3.3814,0.7758,359.5557
3.442,3.4493,0.007,0.0673,-0.1043,-0.1478,0.1,0.1187,-0.0099,0.2301,0.0525,3.4171,0.7526,359.7352
3.5025,3.5004,-0.002,0.0891,-0.1726,-0.0824,0.1452,0.079,0.0045,0.2315,0.0474,3.456,0.877,1.493
3.5584,3.5517,-0.007,0.0492,-0.261,-0.0142,0.1617,0.0335,0.0149,0.2279,0.0484,3.4912,0.1094,1.6965
3.6138,3.6025,-0.011,0.0411,-0.1891,-0.0528,0.1512,0.0153,0.0188,0.2261,0.0496,3.5203,0.7149,2.8519
3.6682,3.6543,-0.014,0.0007,-0.0425,-0.0666,0.1191,0.0316,0.033,0.2288,0.0571,3.5537,358.6779,4.4602
