dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0549,0.071,0.016,-0.2568,-0.0098,-1.0186,0.006,-0.1318,-0.026,0.1239,-0.0322,3.4704,357.4799,180.8529
0.1058,0.1204,0.015,-0.2559,0.0566,-0.9971,0.0109,-0.1143,0.0571,0.1233,-0.0324,3.4705,357.5305,180.7948
0.1587,0.1735,0.015,-0.2617,0.0215,-0.9893,0.0086,-0.0859,0.1147,0.1231,-0.0331,3.4711,357.8173,181.0902
0.2096,0.2248,0.015,-0.2402,0.0557,-0.9785,0.006,-0.0753,0.0985,0.1221,-0.0335,3.4724,357.8689,181.234
0.262,0.2765,0.015,-0.249,0.0479,-0.9688,0.0049,-0.0768,0.075,0.1219,-0.0338,3.4727,357.8463,181.2153
0.3155,0.3274,0.012,-0.252,0.0137,-0.9766,0.01,-0.0668,0.0669,0.1217,-0.035,3.4732,358.2321,181.3736
0.3689,0.3781,0.009,-0.2354,0.0537,-1.0029,0.0175,-0.058,0.0432,0.1212,-0.0354,3.4724,358.4511,181.1408
0.4248,0.4306,0.006,-0.2471,0.0342,-1.001,0.0126,-0.0416,0.0517,0.1196,-0.0354,3.4693,358.8515,181.3266
0.4762,0.4974,0.021,-0.2314,0.0654,-0.9707,0.0073,-0.0294,0.055,0.1168,-0.0344,3.4625,358.9014,181.2837
0.5311,0.5481,0.017,-0.251,-0.0166,-0.9854,-0.0028,-0.0185,0.0742,0.1135,-0.0341,3.4582,359.1597,181.7721
0.58,0.5998,0.02,-0.2227,0.0498,-1.001,-0.0032,-0.0129,0.0255,0.1104,-0.0339,3.4513,359.568,182.1213
0.633,0.6501,0.017,-0.2451,0.0264,-1.0078,-0.0102,-0.0015,-0.016,0.1057,-0.0337,3.4423,359.4908,182.5119
0.6879,0.7006,0.013,-0.2412,0.084,-0.9932,-0.0119,0.0023,-0.0199,0.1008,-0.0337,3.434,359.7191,182.5771
0.7383,0.7519,0.014,-0.2676,0.0352,-0.9795,-0.0201,-0.0005,0.0464,0.0968,-0.0347,3.4265,359.538,182.581
0.7892,0.8023,0.013,-0.25,0.0693,-1.0088,-0.0223,-0.0032,0.0545,0.0917,-0.0362,3.4196,359.572,182.6191
0.8576,0.8535,-0.004,-0.2617,0.0391,-0.9883,-0.0196,-0.0053,0.0754,0.0888,-0.0397,3.4094,359.5398,182.5952
0.9075,0.9045,-0.003,-0.2363,0.0576,-0.9844,-0.0117,-0.0081,0.0818,0.0879,-0.0425,3.4003,359.7823,182.5888
0.9669,0.9562,-0.011,-0.2227,0.0566,-0.9775,-0.01,-0.0051,0.0771,0.0876,-0.0417,3.3917,0.7009,182.4555
1.0198,1.0076,-0.012,-0.2188,0.0381,-0.9834,-0.0125,-0.0021,0.0888,0.086,-0.0405,3.3767,0.7064,183.2204
1.0733,1.0581,-0.015,-0.2568,0.0,-0.9775,-0.0049,0.0053,0.0772,0.0862,-0.0409,3.3616,0.6369,183.2159
1.1272,1.1103,-0.017,-0.2607,-0.0059,-0.9707,0.0065,0.0026,0.0815,0.0864,-0.0409,3.346,0.7322,183.0178
1.1826,1.1775,-0.005,-0.248,0.0313,-1.0605,0.0247,0.0055,0.0424,0.0873,-0.0402,3.3309,1.0186,183.0036
1.2325,1.2285,-0.004,-0.2637,0.0215,-1.0029,0.0201,0.007,0.0451,0.0887,-0.0389,3.3077,0.9859,183.3367
1.2869,1.2793,-0.008,-0.2617,-0.001,-0.9912,0.0203,0.0099,0.0408,0.0905,-0.0394,3.2845,0.6052,183.6653
1.3433,1.3302,-0.013,-0.2441,0.0068,-0.9971,0.0218,0.0027,0.0275,0.0918,-0.0403,3.2601,0.4842,183.8422
1.3948,1.3818,-0.013,-0.2422,0.0273,-1.0303,0.0292,0.0011,-0.0031,0.0934,-0.0409,3.2332,0.0519,183.9067
1.4597,1.4833,0.024,-0.2891,0.0117,-0.9551,0.0345,0.0069,-0.076,0.097,-0.0412,3.1934,359.5229,184.0013
1.5246,1.5338,0.009,-0.2949,0.0313,-0.9756,0.029,0.0043,-0.0885,0.101,-0.0405,3.1505,359.841,184.3122
1.5775,1.5859,0.008,-0.3008,0.0332,-0.9922,0.0247,-0.003,-0.0982,0.1042,-0.035,3.1221,359.2517,183.8282
1.6429,1.6368,-0.006,-0.293,-0.0029,-1.0029,0.0219,-0.0432,-0.1037,0.1079,-0.0316,3.0858,358.1012,183.5172
1.6943,1.6882,-0.006,-0.334,-0.002,-0.9707,0.0201,-0.0658,-0.1122,0.1091,-0.0322,3.0596,358.708,183.9813
1.7442,1.7389,-0.005,-0.1543,0.0674,-1.1738,0.014,-0.063,-0.1037,0.1078,-0.0309,3.0362,358.9679,184.3654
1.8096,1.7901,-0.02,-0.0908,0.0488,-1.1455,0.0019,-0.0139,-0.0782,0.1061,-0.0309,3.0047,358.9177,184.4769
1.8765,1.8581,-0.018,-0.2305,0.0098,-0.8447,-0.0097,0.012,-0.0621,0.1032,-0.0344,2.9706,359.2946,184.5757
1.9299,1.9089,-0.021,-0.1563,0.124,-1.002,-0.0125,0.0515,-0.0166,0.1007,-0.0368,2.9447,359.6771,184.5923
