dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0514,0.119,0.068,-0.1963,0.1104,-1.0791,-0.4279,-0.2473,-1.6485,-2.7962,-0.0758,1.8426,1.8073,183.6582
0.1028,0.119,0.016,-0.1963,0.1104,-1.0791,-0.4279,-0.2473,-1.6485,-2.7951,-0.0748,1.8369,1.4723,183.4616
0.1557,0.1844,0.029,-0.2354,0.0859,-1.0283,-0.4578,-0.1793,-1.3006,-2.7974,-0.0761,1.8304,2.0036,182.6554
0.2136,0.2381,0.024,-0.2402,0.1045,-0.916,-0.4435,-0.1742,-1.0528,-2.801,-0.0765,1.825,1.9034,181.8456
0.2805,0.2893,0.009,-0.1104,-0.0059,-1.21,-0.4283,-0.1837,-0.9183,-2.806,-0.0752,1.819,1.2073,181.6932
0.3459,0.3397,-0.006,-0.1494,0.0059,-1.1064,-0.3715,-0.1498,-0.7197,-2.8076,-0.0738,1.8119,0.178,181.6236
0.4068,0.3909,-0.016,-0.2451,0.0391,-0.9004,-0.344,-0.1306,-0.6076,-2.808,-0.0741,1.8021,1.3078,181.2681
0.4732,0.4923,0.019,-0.1289,0.125,-1.0645,-0.3176,-0.1018,-0.3013,-2.8081,-0.0704,1.7878,0.7634,180.6201
0.5316,0.5435,0.012,-0.1729,0.1025,-1.0254,-0.2934,-0.0794,-0.1726,-2.8081,-0.0699,1.7724,0.8239,180.7262
0.5935,0.5944,0.001,-0.1982,0.0059,-1.0332,-0.2602,-0.0737,-0.1201,-2.8062,-0.0702,1.7603,1.3976,180.3507
0.6589,0.646,-0.013,-0.2285,-0.002,-0.9727,-0.1953,-0.0659,-0.0873,-2.8029,-0.0694,1.7448,1.597,179.8551
0.7208,0.6977,-0.023,-0.251,-0.0029,-1.0225,-0.1306,-0.0654,-0.0483,-2.8,-0.0677,1.7262,1.4127,179.3533
0.7807,0.7987,0.018,-0.2432,0.0879,-0.9951,-0.0118,-0.0706,-0.0648,-2.798,-0.068,1.7065,1.048,179.5618
0.8391,0.8496,0.011,-0.2178,0.0078,-0.9941,0.0062,-0.0677,-0.0344,-2.7968,-0.0682,1.6894,0.8875,179.6649
0.9025,0.8999,-0.003,-0.1895,-0.0156,-0.9941,0.0477,-0.0509,0.0034,-2.7951,-0.0689,1.6657,0.2333,179.8946
0.9639,0.9509,-0.013,-0.1885,-0.0068,-1.0059,0.0584,-0.0441,0.0177,-2.7934,-0.0715,1.6362,0.4007,180.3966
1.0139,1.0017,-0.012,-0.2109,0.0342,-1.0254,0.0535,-0.0506,0.0585,-2.7911,-0.0728,1.6115,0.7786,180.7346
1.0713,1.0522,-0.019,-0.2314,0.0957,-0.9893,0.0459,-0.0494,0.0803,-2.7885,-0.071,1.5895,1.75,181.2961
1.1207,1.1033,-0.017,-0.2373,0.0547,-0.9609,0.0403,-0.0406,0.1159,-2.7835,-0.0648,1.5672,0.1478,181.5423
1.1761,1.1543,-0.022,-0.2422,0.0693,-1.0195,0.0458,-0.0462,0.1323,-2.7778,-0.0633,1.5438,358.9288,181.9937
1.241,1.2584,0.017,-0.2871,0.0781,-0.9492,0.0405,-0.0912,0.0617,-2.7713,-0.0644,1.5129,358.504,181.9918
1.2914,1.3242,0.033,-0.2646,0.0537,-1.0361,0.0228,-0.0961,0.0482,-2.7683,-0.0646,1.4938,358.1906,182.2107
1.3413,1.3242,-0.017,-0.2646,0.0537,-1.0361,0.0228,-0.0961,0.0482,-2.7677,-0.0648,1.477,358.4125,182.2833
1.3993,1.3753,-0.024,-0.1895,0.0371,-1.1406,0.0143,-0.0812,0.0478,-2.77,-0.0647,1.4572,358.8084,182.7898
1.4502,1.4264,-0.024,-0.1729,0.0166,-1.1895,-0.0034,-0.0523,0.0657,-2.7705,-0.0641,1.4414,359.2549,183.4039
