dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0479,0.076,0.028,-0.0222,-0.0244,0.0095,0.0103,-0.0075,-0.041,0.0212,0.0669,0.2424,3.5638,7.0793
0.1003,0.076,-0.024,-0.0222,-0.0244,0.0095,0.0103,-0.0075,-0.041,0.0209,0.0663,0.2423,3.7448,7.2982
0.1727,0.1779,0.005,-0.0241,-0.0245,0.0109,-0.0438,-0.0087,0.0219,0.0216,0.0668,0.2433,3.4975,7.2577
0.2236,0.2306,0.007,-0.0267,-0.0234,0.012,-0.0291,-0.0162,0.0143,0.0216,0.0666,0.2441,3.4614,7.3363
0.2975,0.2815,-0.016,-0.0272,-0.0246,0.0169,-0.0167,-0.0186,0.0028,0.0214,0.0642,0.2462,3.8057,6.791
0.3719,0.385,0.013,-0.0304,-0.022,0.0107,-0.0061,-0.0132,-0.014,0.0219,0.0647,0.2491,3.6504,7.8067
0.4443,0.4514,0.007,-0.0307,-0.0226,0.0128,-0.0015,-0.0184,-0.0011,0.0227,0.0654,0.2552,3.0797,7.541
0.5201,0.5025,-0.018,-0.0342,-0.0256,0.0177,0.0002,-0.0272,0.0082,0.0221,0.0653,0.2663,2.4951,7.2438
0.59,0.6046,0.015,-0.0388,-0.0195,0.0087,0.0038,-0.0302,0.0084,0.0247,0.0612,0.2756,3.6117,7.2699
0.6654,0.6704,0.005,-0.0492,-0.0215,0.0045,0.0024,-0.0371,0.0122,0.0286,0.0576,0.2904,3.4911,6.1206
0.7368,0.7219,-0.015,-0.0576,-0.026,0.0075,0.0036,-0.0561,0.0146,0.0354,0.0557,0.307,3.8464,5.7307
0.8102,0.8252,0.015,-0.0721,-0.0243,0.0251,0.0049,-0.0742,0.0155,0.0463,0.0551,0.3308,4.0635,5.1793
0.8871,0.8751,-0.012,-0.0817,-0.0231,0.0262,0.0054,-0.0813,0.0164,0.0568,0.0524,0.3596,3.338,3.7586
0.957,0.9782,0.021,-0.0925,-0.016,0.0166,0.0038,-0.1015,0.0262,0.0599,0.0475,0.3877,3.8147,2.2218
1.0313,1.0304,-0.001,-0.0955,-0.0169,0.0165,-0.0038,-0.0897,0.0223,0.0648,0.054,0.4148,5.0907,3.578
1.1012,1.0972,-0.004,-0.0968,-0.0219,0.0172,-0.0006,-0.0823,0.0243,0.0688,0.0543,0.4533,4.2141,4.0266
1.1611,1.1495,-0.012,-0.1072,-0.0368,0.0254,0.0054,-0.0829,0.026,0.0717,0.0507,0.4965,4.3025,3.3246
1.222,1.2171,-0.005,-0.1165,-0.0398,0.0075,0.0325,-0.0901,0.0232,0.0729,0.0464,0.5329,4.8673,3.9512
1.275,1.2677,-0.007,-0.1287,-0.0392,0.0037,0.0428,-0.0942,0.0175,0.0745,0.0399,0.5847,4.3591,4.4065
