dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0514,0.067,0.016,-0.1073,-0.0422,0.0184,-0.0026,-0.0064,0.0078,0.0008,0.0993,0.1625,359.227,357.0116
0.1118,0.1169,0.005,-0.1077,-0.0434,0.021,-0.0012,-0.0078,0.0068,-0.0017,0.0991,0.1645,359.3128,356.557
0.1757,0.1679,-0.008,-0.1065,-0.0424,0.0197,0.0015,-0.0138,0.0035,-0.0035,0.0994,0.1669,359.236,356.5149
0.2406,0.219,-0.022,-0.1067,-0.0436,0.0212,0.0018,-0.0151,0.0029,-0.0056,0.0991,0.1703,359.3777,356.3967
0.304,0.3233,0.019,-0.1058,-0.047,0.0204,0.0005,-0.0136,0.0082,-0.0059,0.0989,0.1745,359.2762,356.047
0.3689,0.3741,0.005,-0.1046,-0.0444,0.0184,0.0005,-0.0139,0.0073,-0.0055,0.0974,0.1785,359.4662,356.4354
0.4293,0.4254,-0.004,-0.1059,-0.0449,0.0198,-0.0026,-0.0147,0.0106,-0.0054,0.0969,0.1842,359.5685,356.2711
0.4887,0.4761,-0.013,-0.104,-0.0414,0.0172,-0.0021,-0.0152,0.0059,-0.0049,0.0968,0.1925,359.4552,356.6118
0.5466,0.5266,-0.02,-0.1051,-0.0389,0.022,-0.0036,-0.0162,0.0074,-0.0038,0.097,0.2033,359.4169,356.216
0.6065,0.6287,0.022,-0.1052,-0.0363,0.0217,-0.0065,-0.0167,0.008,0.0001,0.0978,0.2194,359.2589,356.4242
0.6599,0.6799,0.02,-0.1079,-0.0326,0.0183,-0.0033,-0.0247,0.0088,0.006,0.096,0.2329,359.9336,356.4346
0.7133,0.731,0.018,-0.1149,-0.0308,0.0189,-0.002,-0.0342,0.0082,0.0119,0.0946,0.2449,0.1805,357.0351
0.7697,0.7827,0.013,-0.1217,-0.0295,0.0188,-0.0007,-0.0546,0.008,0.0178,0.0939,0.2638,359.1026,356.355
0.8252,0.8332,0.008,-0.1265,-0.021,0.0253,-0.0016,-0.0631,0.0043,0.0183,0.0911,0.2808,359.7742,356.6852
0.8806,0.8846,0.004,-0.1252,-0.0104,0.0315,-0.0183,-0.0633,0.0166,0.0165,0.094,0.2987,359.2851,356.221
0.936,0.9352,-0.001,-0.1188,-0.0046,0.0267,-0.0496,-0.0531,0.0419,0.011,0.0972,0.3278,359.3596,355.9382
0.9909,0.9866,-0.004,-0.1158,-0.0091,0.0214,-0.0501,-0.0414,0.0396,0.0085,0.1012,0.3533,359.0398,355.6549
1.0473,1.0542,0.007,-0.1242,-0.024,0.0237,-0.0264,-0.0299,0.0157,0.0051,0.1024,0.3767,359.2021,355.1781
1.1027,1.1055,0.003,-0.1307,-0.0413,0.0114,-0.0071,-0.0249,0.002,-0.0003,0.1016,0.4125,359.3169,354.8973
1.1641,1.1567,-0.007,-0.1458,-0.0512,0.0122,0.056,-0.0647,-0.0408,-0.0048,0.0964,0.4471,359.257,354.9169
1.218,1.2242,0.006,-0.1422,-0.0499,0.0116,0.0541,-0.0762,-0.0416,-0.0116,0.0888,0.4972,359.3789,354.6231
1.269,1.2754,0.006,-0.1413,-0.0533,0.0201,0.0453,-0.0618,-0.0394,-0.0181,0.083,0.5435,359.4655,354.7414
1.3279,1.3262,-0.002,-0.1486,-0.0513,0.0344,0.0411,-0.0601,-0.0386,-0.0251,0.081,0.5926,359.1246,354.857
1.3843,1.3777,-0.007,-0.1601,-0.0475,0.0507,0.0381,-0.0744,-0.0231,-0.0362,0.0841,0.6627,358.6356,355.0341
1.4402,1.4279,-0.012,-0.1743,-0.048,0.0633,0.0374,-0.0943,-0.0014,-0.0447,0.0959,0.7171,357.8205,355.1702
