dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0673,0.08,0.013,-0.1348,0.0908,-0.9873,0.1218,-0.2388,1.8006,-2.6555,-0.0829,0.1725,1.6401,90.8588
0.1427,0.1485,0.006,-0.1816,0.0527,-1.0732,0.1306,-0.2661,1.6253,-2.6547,-0.0838,0.1767,1.7501,91.3731
0.2146,0.2135,-0.001,-0.1777,0.1006,-1.0449,0.17,-0.3015,1.4303,-2.6537,-0.0863,0.1801,2.3509,92.2267
0.2675,0.2646,-0.003,-0.1465,0.0791,-1.0303,0.1811,-0.2874,1.3228,-2.6533,-0.0857,0.1809,1.9133,92.6279
0.3399,0.3169,-0.023,-0.124,0.0537,-1.0586,0.1949,-0.237,1.163,-2.6502,-0.0826,0.1835,1.0858,93.4973
0.4128,0.4195,0.007,-0.1787,0.0752,-0.9287,0.1972,-0.1679,0.9183,-2.6463,-0.081,0.1841,359.6328,94.2171
0.4822,0.4708,-0.011,-0.168,0.04,-0.9844,0.1641,-0.1395,0.7665,-2.6422,-0.0838,0.1828,0.8834,93.9731
0.5326,0.5215,-0.011,-0.1719,0.0732,-1.0234,0.1433,-0.1223,0.6671,-2.6391,-0.0866,0.1808,2.0478,94.9753
0.6055,0.5732,-0.032,-0.1924,0.0146,-1.0674,0.1219,-0.1038,0.5459,-2.6237,-0.0891,0.1786,2.2903,95.1134
0.6804,0.6913,0.011,-0.2314,0.0938,-0.9023,0.11,-0.0779,0.3337,-2.6057,-0.0927,0.175,3.042,95.4939
0.7483,0.7425,-0.006,-0.2168,0.1162,-0.9316,0.0968,-0.0875,0.2832,-2.5868,-0.0942,0.1714,2.8592,95.3479
0.8202,0.7941,-0.026,-0.2412,0.1143,-0.9941,0.0714,-0.0972,0.2169,-2.5571,-0.099,0.1654,3.0508,95.0169
0.891,0.9142,0.023,-0.2646,0.0742,-0.958,0.0317,-0.1213,0.1002,-2.5258,-0.1017,0.1575,2.8715,95.1481
0.9669,0.9805,0.014,-0.2178,0.0186,-0.9961,0.0188,-0.1386,0.0554,-2.4818,-0.1016,0.146,1.3983,94.7707
1.0388,1.0322,-0.007,-0.2275,0.1055,-1.0361,0.0099,-0.1336,0.0101,-2.4414,-0.1007,0.1384,1.9162,94.3746
1.1077,1.0823,-0.025,-0.3057,0.043,-1.0166,0.0043,-0.1267,-0.0197,-2.4069,-0.0897,0.1308,0.502,92.9366
1.1691,1.1841,0.015,-0.2559,0.0732,-1.04,-0.003,-0.1306,-0.0499,-2.3717,-0.0876,0.1215,0.3091,93.1141
1.2265,1.2358,0.009,-0.2666,0.0557,-1.0283,-0.0161,-0.1233,-0.0563,-2.3472,-0.0892,0.1166,1.0508,92.8154
1.2864,1.2858,-0.001,-0.2744,0.0293,-1.0029,-0.0306,-0.1214,-0.0684,-2.3188,-0.0877,0.1111,0.8196,91.8612
1.3448,1.3371,-0.008,-0.123,0.0342,-1.2061,-0.0221,-0.1023,-0.0793,-2.3012,-0.0871,0.1076,0.8168,91.5522
