dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0494,0.091,0.042,-0.1846,0.0098,-1.0137,-0.1418,-0.0077,-0.0646,0.0197,-0.0641,-0.0193,0.2446,272.4932
0.1013,0.091,-0.01,-0.1846,0.0098,-1.0137,-0.1418,-0.0077,-0.0646,0.0179,-0.0653,-0.0225,0.7781,273.1053
0.1532,0.1411,-0.012,-0.209,0.0801,-0.9707,-0.1481,-0.0016,-0.0522,0.0144,-0.0655,-0.0235,0.7119,273.6205
0.2036,0.1928,-0.011,-0.21,0.0752,-1.0186,-0.1597,-0.0068,-0.0283,0.01,-0.0649,-0.0246,1.1734,273.3748
0.2545,0.2437,-0.011,-0.2275,0.0479,-0.9814,-0.1631,-0.0127,-0.0061,0.003,-0.065,-0.0264,0.9396,273.0712
0.3115,0.2967,-0.015,-0.248,0.0684,-0.9795,-0.147,-0.03,0.0128,-0.006,-0.0667,-0.0285,0.8298,273.6979
0.3674,0.3484,-0.019,-0.2461,0.0791,-1.0,-0.1303,-0.0633,0.0404,-0.0197,-0.0689,-0.0301,1.4089,274.0337
0.4203,0.3987,-0.022,-0.2461,0.0596,-1.0127,-0.125,-0.0762,0.0591,-0.0348,-0.0698,-0.0323,0.7002,273.491
0.4767,0.5,0.023,-0.2695,0.0215,-0.96,-0.0931,-0.0768,0.0618,-0.0518,-0.0705,-0.0339,1.0539,273.3728
0.5291,0.5515,0.022,-0.2686,0.0664,-0.959,-0.0741,-0.0832,0.0547,-0.0687,-0.0722,-0.0339,1.3559,274.2448
0.5785,0.6026,0.024,-0.2441,0.0684,-1.0186,-0.0677,-0.0828,0.0521,-0.0906,-0.0751,-0.0327,0.8835,274.2032
0.629,0.6536,0.025,-0.2666,-0.0244,-1.0303,-0.058,-0.081,0.0411,-0.114,-0.0786,-0.0304,1.5282,274.1422
0.6834,0.7043,0.021,-0.2695,0.0625,-0.9678,-0.0407,-0.0894,0.0421,-0.1413,-0.081,-0.0275,1.9516,273.9175
0.7333,0.7565,0.023,-0.2754,0.083,-0.9785,-0.0279,-0.1017,0.052,-0.182,-0.0832,-0.0243,2.1348,273.5447
0.7842,0.8067,0.022,-0.3086,0.0859,-0.9463,-0.0207,-0.1083,0.0669,-0.2189,-0.0829,-0.022,2.1748,273.1138
0.8361,0.8581,0.022,-0.2832,0.0703,-0.9785,-0.0203,-0.1165,0.0753,-0.256,-0.0812,-0.0188,1.2007,273.0182
0.9035,0.9104,0.007,-0.3047,0.0146,-1.0039,-0.015,-0.1192,0.0763,-0.305,-0.0812,-0.0149,1.8614,272.3733
0.9564,0.9767,0.02,-0.2939,0.0195,-1.0342,-0.007,-0.1053,0.0599,-0.3348,-0.0724,-0.0112,2.5984,271.5489
1.0104,1.0291,0.019,-0.2666,0.041,-1.0762,0.0152,-0.0895,0.0353,-0.3656,-0.0651,-0.007,1.0854,271.807
1.0603,1.0794,0.019,-0.2832,0.043,-0.9775,0.0247,-0.0718,0.0189,-0.3968,-0.0632,-0.0049,0.4978,272.088
1.1107,1.1301,0.019,-0.1914,0.0605,-1.0596,0.0201,-0.0587,0.0179,-0.4255,-0.0612,-0.0031,0.3107,271.3499
1.1631,1.1804,0.017,-0.0313,0.0732,-1.2236,0.0139,-0.0293,0.0115,-0.4525,-0.0592,-0.0008,0.7242,270.8843
1.2325,1.2315,-0.001,-0.126,0.0371,-1.0137,0.0069,0.0207,-0.0081,-0.4889,-0.0573,0.0015,1.4497,271.2695
