dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0494,0.063,0.014,0.0289,0.1021,0.0139,0.1562,-0.0367,0.0931,0.0363,0.0592,0.1431,5.8141,355.9057
0.1238,0.1264,0.003,0.0297,0.0549,0.0161,0.1292,-0.0586,0.1868,0.0388,0.0575,0.1655,4.7594,356.0551
0.1932,0.1766,-0.017,-0.0372,0.0341,-0.0102,0.1,-0.0382,0.1936,0.0346,0.0551,0.1907,4.4996,355.4683
0.2605,0.28,0.02,-0.0379,0.0102,-0.0366,0.0242,-0.0111,0.1512,0.0318,0.0554,0.2129,6.3288,356.1763
0.3219,0.3347,0.013,-0.0814,-0.001,-0.0478,-0.0309,0.0119,0.1162,0.028,0.0553,0.2352,5.7034,355.7323
0.3779,0.399,0.021,0.0499,-0.0066,0.001,-0.052,0.0238,0.1115,0.0221,0.0543,0.2688,5.2749,355.5351
0.4368,0.4507,0.014,-0.0036,-0.0065,0.0202,-0.0412,0.016,0.1174,0.0178,0.0536,0.3019,4.9248,354.9984
0.4932,0.5013,0.008,0.0791,-0.0348,0.0806,-0.0381,0.0103,0.1205,0.0112,0.0525,0.3452,4.7703,355.0342
0.5496,0.5529,0.003,0.0557,0.01,0.0792,-0.014,-0.0321,0.1614,0.0054,0.0538,0.3858,4.8753,355.3421
0.6055,0.6179,0.012,0.0115,0.0089,0.0703,0.0112,-0.0706,0.2291,-0.0032,0.0567,0.4404,4.1091,356.0388
0.6654,0.6692,0.004,-0.015,0.0087,0.0807,0.0144,-0.0662,0.2475,-0.0097,0.0597,0.4866,3.7528,356.9266
0.7223,0.7225,0.0,-0.0237,-0.0028,0.0745,-0.0067,-0.0605,0.2347,-0.0175,0.067,0.5473,4.5532,356.9792
0.7782,0.7746,-0.004,0.0151,-0.0056,0.1076,-0.018,-0.0717,0.2278,-0.0236,0.0755,0.5906,3.722,356.6302
0.8326,0.8247,-0.008,-0.0094,0.032,0.1099,-0.0073,-0.0947,0.2407,-0.028,0.0803,0.6336,3.3124,357.7186
