dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0702,0.068,-0.002,-0.0211,-0.0338,-0.003,7.2699,356.4494,74.2291,0.0673,0.0473,0.2433,5.6285,0.8854
0.1403,0.1501,0.01,-0.0281,0.0342,0.0314,8.4095,355.7126,75.9291,0.0683,0.0466,0.2781,5.394,1.4364
0.1953,0.2012,0.006,-0.029,-0.028,0.0899,8.6814,355.4763,76.3116,0.0666,0.0473,0.3,5.5463,0.813
0.255,0.2517,-0.003,0.0149,-0.0089,0.0344,9.0536,355.3451,76.4522,0.065,0.0479,0.3215,5.4044,0.7283
0.305,0.3196,0.015,0.0175,0.027,0.0971,9.516,355.3738,76.1544,0.0613,0.0474,0.3549,5.3494,0.9842
0.3601,0.373,0.013,0.0484,-0.0158,0.0274,10.0479,355.5599,75.6182,0.0577,0.0461,0.3858,5.4751,1.0589
0.4099,0.4237,0.014,-0.0016,0.0222,0.0946,10.584,355.5026,75.8411,0.0547,0.043,0.4201,5.3619,0.9083
0.47,0.4754,0.005,0.0411,0.0167,0.0424,10.9511,355.7053,75.8889,0.0516,0.0391,0.4741,4.6115,0.7857
0.5202,0.5422,0.022,0.0372,-0.0141,0.0877,11.4588,355.8609,76.1965,0.049,0.0376,0.5224,4.1622,0.8901
0.5749,0.5963,0.021,0.0559,-0.0328,0.0936,11.8808,356.2723,75.9433,0.0471,0.0377,0.5738,4.1666,0.946
0.6301,0.6616,0.031,0.0194,-0.0422,0.1138,12.4943,356.675,75.784,0.0464,0.045,0.6232,4.224,1.6804
0.6804,0.6616,-0.019,0.0194,-0.0422,0.1138,12.4943,356.675,75.784,0.0434,0.054,0.6716,2.0323,1.3124
0.7301,0.714,-0.016,-0.0024,-0.0395,0.12,13.0662,356.9301,76.1296,0.042,0.0601,0.7194,1.7102,1.7207
0.7804,0.7803,-0.0,-0.0089,0.0255,0.1208,13.8197,356.9297,76.9711,0.0411,0.0677,0.7629,1.7691,1.5226
0.8299,0.8462,0.016,-0.0006,0.0034,0.1245,14.2416,356.8844,77.6187,0.042,0.0717,0.8071,1.7251,1.1508
0.8803,0.8996,0.019,-0.0789,0.2233,0.0611,14.4405,356.5373,78.313,0.0417,0.0728,0.8506,2.3974,0.8798
0.9302,0.8996,-0.031,-0.0789,0.2233,0.0611,14.4405,356.5373,78.313,0.0413,0.0702,0.9118,4.2226,0.9068
0.9903,0.9651,-0.025,-0.0035,0.0157,-0.0034,13.6902,356.2545,78.4032,0.041,0.0606,0.9656,3.7815,0.7724
1.0399,1.0166,-0.023,-0.0238,-0.0045,-0.0866,13.0765,356.0412,77.8246,0.0418,0.0496,1.0211,1.6764,0.5714
1.09,1.0674,-0.023,-0.0378,0.0058,-0.0638,12.3391,355.873,77.4271,0.0427,0.0365,1.0756,1.6592,359.4093
1.1403,1.1193,-0.021,-0.023,-0.1447,-0.0596,11.5088,355.3243,77.3847,0.0444,0.0288,1.1312,1.5639,358.5255
1.2001,1.2226,0.022,-0.003,-0.1997,-0.0063,10.5265,354.381,76.2994,0.0444,0.0277,1.1853,2.2801,357.6928
1.2501,1.274,0.024,-0.0003,-0.1706,-0.0049,9.6127,354.0341,73.8552,0.0436,0.0325,1.2394,1.7665,357.0488
1.2999,1.274,-0.026,-0.0003,-0.1706,-0.0049,9.6127,354.0341,73.8552,0.0422,0.0389,1.2911,2.6756,357.0038
1.3553,1.3415,-0.014,-0.0063,-0.1234,0.0612,9.275,353.4541,71.5156,0.0394,0.0548,1.3586,4.8805,356.2499
1.4003,1.3938,-0.007,-0.0101,-0.0738,0.0889,9.0184,353.0944,68.4029,0.0377,0.0642,1.4125,4.265,356.1367
1.4653,1.4604,-0.005,-0.0216,0.1722,0.0708,9.3392,352.6755,65.3742,0.0349,0.0634,1.4651,4.2927,355.3332
1.5102,1.5128,0.003,-0.0202,0.3046,-0.003,9.0795,352.1968,62.8626,0.0325,0.0561,1.5201,4.0327,354.5712
1.5603,1.5797,0.019,0.0235,0.1105,-0.0512,9.0549,351.8132,60.0949,0.0301,0.0448,1.5795,2.9814,354.8214
1.6202,1.6312,0.011,0.0419,0.2,-0.0655,8.236,351.9362,55.945,0.0246,0.0241,1.6633,2.1822,354.4276
1.67,1.6818,0.012,0.0312,-0.1109,-0.048,7.677,352.2605,52.5593,0.0198,0.0089,1.733,3.3895,355.7619
1.7203,1.7333,0.013,0.0042,-0.1823,-0.0164,7.3457,352.2411,50.2063,0.0124,0.0053,1.8015,5.3579,356.2574
1.7703,1.7981,0.028,-0.0011,-0.2162,0.0133,7.3591,352.1871,48.9224,0.004,0.0193,1.8638,3.0873,355.3036
1.8402,1.8502,0.01,-0.0454,-0.212,0.1216,7.3766,352.0534,48.9268,-0.0002,0.0406,1.9418,1.2599,355.7196
1.8902,1.903,0.013,-0.0262,-0.1107,0.0864,7.3982,352.0924,48.5641,-0.0043,0.0596,1.9914,3.4732,355.8997
1.9403,1.9539,0.014,0.0208,-0.0436,0.148,8.1939,351.7473,49.9997,-0.0072,0.0736,2.0444,2.9899,356.1644
2.0003,2.004,0.004,0.0488,0.4472,-0.0496,8.3839,351.581,50.8575,-0.0092,0.0751,2.1006,2.8336,355.7873
2.05,2.0552,0.005,0.1066,0.3892,-0.1313,7.6024,352.4459,47.2536,-0.0121,0.0702,2.1773,2.9926,355.7132
2.1053,2.1067,0.001,-0.0129,0.2393,-0.0853,7.3883,352.4707,47.7844,-0.0139,0.0565,2.2428,2.7915,355.4818
2.1607,2.1571,-0.004,-0.0203,0.171,-0.1187,6.9394,352.8011,47.7021,-0.0155,0.0422,2.3083,1.4601,355.0481
2.2103,2.2083,-0.002,-0.0704,0.0319,-0.0722,6.56,352.8187,48.5242,-0.0171,0.0293,2.374,359.9115,354.6441
2.2608,2.2599,-0.001,-0.0214,-0.3399,-0.0228,6.1221,352.8748,49.2536,-0.0195,0.0218,2.4399,359.8252,354.2677
2.3302,2.3115,-0.019,0.0042,-0.2977,0.0008,5.971,352.9877,49.695,-0.0224,0.0269,2.5209,1.1845,353.6799
2.3804,2.362,-0.018,-0.0226,-0.2775,0.0315,5.7122,353.1408,49.6203,-0.0246,0.0426,2.5752,0.1557,353.4562
2.4301,2.4138,-0.016,-0.0047,-0.1815,0.0421,5.5076,353.2741,50.0473,-0.0265,0.0644,2.6414,0.9464,354.8619
2.4854,2.4809,-0.004,0.0167,-0.0109,0.1016,5.1856,353.5634,49.7173,-0.0274,0.076,2.6954,0.2549,356.6573
2.5351,2.5319,-0.003,0.0266,0.0818,0.1075,6.6263,352.6946,54.1367,-0.0283,0.0771,2.7491,0.2401,357.654
2.5904,2.5824,-0.008,0.0134,0.2591,0.0418,7.5329,352.2963,55.9132,-0.0275,0.0698,2.8055,359.8901,358.6682
2.6403,2.6339,-0.006,-0.0298,0.528,-0.1587,7.1823,352.2315,55.3917,-0.0256,0.0596,2.8621,359.6691,359.9373
2.6903,2.7013,0.011,-0.0421,0.1828,-0.1057,7.0049,352.2789,53.8337,-0.0221,0.047,2.9194,359.5651,2.4306
2.745,2.7532,0.008,-0.0715,-0.0685,0.0033,6.723,352.196,52.7764,-0.0177,0.0361,2.9795,358.4583,5.5184
2.7901,2.8207,0.031,-0.0204,-0.2879,0.0326,6.7028,351.9621,52.6119,-0.0104,0.0281,3.0393,358.1743,9.6991
2.8504,2.8739,0.023,-0.0526,-0.2982,0.0661,6.8366,351.7137,52.7917,-0.0015,0.0257,3.0957,359.2384,12.4795
2.9003,2.8739,-0.026,-0.0526,-0.2982,0.0661,6.8366,351.7137,52.7917,0.0162,0.033,3.1649,0.2698,15.9153
2.9551,2.9398,-0.015,-0.0661,-0.2003,0.0886,6.9146,351.4117,53.5965,0.0389,0.0445,3.2143,1.6068,20.2749
3.0102,2.9915,-0.019,-0.0954,-0.0445,0.0798,6.851,350.9459,55.2078,0.0633,0.0562,3.2513,2.8518,23.4991
3.062,3.0568,-0.005,-0.085,0.0011,0.0898,6.8613,350.4376,56.912,0.0898,0.0574,3.2891,1.7133,27.5568
3.1203,3.1114,-0.009,-0.1219,0.1676,0.0218,7.8274,349.5633,60.1756,0.1302,0.0556,3.3388,1.8156,33.0793
3.17,3.1783,0.008,-0.1134,0.3026,-0.0634,8.5981,348.9134,62.65,0.1641,0.0369,3.3786,4.0999,36.2665
3.2204,3.2451,0.025,-0.2094,0.1541,-0.0637,9.0257,348.431,64.6413,0.204,0.0338,3.4123,4.3596,39.0483
3.2703,3.2451,-0.025,-0.2094,0.1541,-0.0637,9.0257,348.431,64.6413,0.2443,0.0267,3.4482,3.0811,41.5635
3.3301,3.3127,-0.017,-0.1821,-0.0236,-0.1132,7.2622,348.0981,66.2783,0.2884,0.017,3.4838,2.2454,44.2317
3.3703,3.3628,-0.007,-0.1027,-0.3175,0.0048,6.8593,347.8862,66.8371,0.3327,0.0123,3.5185,2.3696,46.5494
3.4301,3.4138,-0.016,-0.0719,-0.2747,0.0103,6.4128,347.5679,66.9752,0.3931,0.0152,3.5601,2.0137,49.6812
3.4854,3.4647,-0.021,-0.0806,0.0402,-0.0582,5.5998,347.6343,65.8343,0.4418,0.0209,3.5854,1.7233,53.5047
3.5452,3.567,0.022,0.02,-0.0971,0.049,3.5192,348.0892,61.7807,0.4844,0.0345,3.6025,4.907,56.3512
3.5953,3.6181,0.023,-0.0018,0.0096,0.053,3.4604,348.2483,59.6225,0.5298,0.0462,3.6187,3.604,59.7907
3.6624,3.67,0.008,-0.0134,0.1715,0.0515,3.7657,348.0801,58.2646,0.5937,0.0477,3.6413,3.8778,63.2495
3.7102,3.7213,0.011,-0.0471,0.202,-0.0813,3.3589,348.3843,56.3446,0.666,0.0421,3.6639,4.3092,65.9823
3.7701,3.7738,0.004,-0.0552,0.1312,-0.0676,3.2694,348.906,53.2664,0.7289,0.0359,3.6792,4.2932,68.8014
3.82,3.8405,0.021,-0.026,0.1773,-0.082,2.5232,349.8747,49.6037,0.7898,0.0276,3.6935,2.4656,71.2618
3.8702,3.8929,0.023,0.017,-0.1275,-0.0115,2.1111,350.6795,46.4995,0.8496,0.019,3.7069,1.445,74.2104
3.9251,3.8929,-0.032,0.017,-0.1275,-0.0115,2.1111,350.6795,46.4995,0.9039,0.0151,3.7176,2.2427,76.0287
3.975,3.9606,-0.014,0.0505,-0.2702,0.071,2.4866,350.7836,44.6258,0.9572,0.0196,3.7285,3.4638,76.5767
