dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0673,0.066,-0.001,0.0284,-0.0327,0.0097,0.0117,0.0042,0.0478,0.0261,0.071,0.1107,3.3678,359.172
0.1372,0.1339,-0.003,-0.0002,-0.0061,0.0219,0.0174,0.0005,0.0312,0.0273,0.0728,0.1179,3.4098,0.231
0.2081,0.1855,-0.023,0.043,-0.0373,0.0461,0.0188,-0.0054,0.0291,0.0279,0.0744,0.1268,2.2661,1.1251
0.278,0.3028,0.025,-0.0615,0.0323,-0.0187,0.0101,-0.0298,0.0241,0.0307,0.0752,0.137,2.3806,1.1596
0.3464,0.3543,0.008,-0.0452,0.0561,-0.0103,-0.0299,-0.019,0.0187,0.0354,0.078,0.1518,2.2231,1.3051
0.4163,0.4043,-0.012,-0.0582,0.0095,0.0169,-0.0572,-0.0146,0.0196,0.0395,0.0798,0.1637,2.2237,0.9435
0.4822,0.5066,0.024,-0.031,0.0114,0.0063,-0.0549,-0.0063,0.043,0.0445,0.0832,0.1802,3.1631,0.156
0.5506,0.5577,0.007,-0.0055,-0.0104,0.0101,-0.0416,-0.0042,0.0728,0.0514,0.0889,0.2036,3.948,0.1936
0.6125,0.6092,-0.003,-0.0121,0.0017,0.0031,-0.0456,-0.0032,0.0774,0.0521,0.085,0.2269,2.7039,359.2145
0.6784,0.6595,-0.019,-0.0021,-0.0222,0.0325,-0.0423,-0.0095,0.0904,0.0532,0.086,0.2551,2.971,358.6055
0.7358,0.7116,-0.024,-0.0479,0.0194,0.0274,-0.0281,-0.0185,0.0861,0.0531,0.0889,0.2869,3.1056,359.6709
0.7867,0.7621,-0.025,-0.0614,-0.0079,-0.0189,-0.0273,-0.0219,0.0828,0.052,0.0902,0.3158,2.1091,359.8658
0.8556,0.8643,0.009,-0.0614,0.0437,0.0455,-0.0422,-0.0258,0.1062,0.0492,0.0905,0.3538,2.9207,0.084
0.9215,0.9147,-0.007,-0.047,0.033,0.0479,-0.0546,-0.0228,0.1047,0.0458,0.089,0.3984,2.3868,0.4077
0.9884,0.9655,-0.023,-0.039,0.0144,0.0474,-0.04,-0.0314,0.105,0.0426,0.0832,0.4503,2.37,0.5686
1.0568,1.0682,0.011,0.0151,-0.0332,0.0599,-0.003,-0.0693,0.1278,0.0389,0.0783,0.5106,2.5376,0.6796
1.1232,1.1344,0.011,0.0029,-0.0868,0.0833,0.0435,-0.0859,0.1209,0.036,0.0775,0.5758,1.7772,1.0434
1.1741,1.1843,0.01,0.0076,-0.0751,0.1163,0.0521,-0.1014,0.1145,0.0343,0.0804,0.6232,2.4848,1.1866
1.225,1.2355,0.01,-0.0148,-0.0238,0.107,0.0505,-0.1329,0.1155,0.0341,0.0882,0.6673,1.8302,1.1305
1.2914,1.2871,-0.004,-0.0364,0.0917,0.0493,0.0464,-0.1429,0.1159,0.0347,0.095,0.7256,2.2126,1.4934
1.3578,1.3405,-0.017,-0.0593,0.034,0.0729,0.0324,-0.1216,0.0999,0.0383,0.1013,0.7824,2.4858,1.7192
1.4077,1.3917,-0.016,-0.0308,0.2152,-0.1266,0.0146,-0.0866,0.0714,0.041,0.1005,0.8278,2.1081,1.6776
1.4741,1.4934,0.019,-0.0355,-0.043,-0.068,-0.0214,0.0393,-0.0746,0.0456,0.0943,0.8903,2.7453,1.6846
1.532,1.5436,0.012,-0.0638,-0.0,-0.0919,-0.029,0.0775,-0.1085,0.0496,0.0893,0.94,2.3917,1.5888
1.5825,1.5954,0.013,-0.0043,-0.1415,-0.0247,-0.032,0.1011,-0.1252,0.0558,0.0814,1.0108,1.9541,1.6525
1.6334,1.6456,0.012,-0.024,-0.123,0.0101,-0.0251,0.0775,-0.0942,0.061,0.0747,1.0736,1.4828,1.3422
1.6843,1.6968,0.013,-0.007,-0.0257,0.0078,-0.023,0.0603,-0.0766,0.0641,0.073,1.1325,0.5651,0.6886
1.7337,1.7482,0.014,-0.0084,-0.0757,0.0538,-0.0325,0.0584,-0.0765,0.0676,0.074,1.19,0.2181,0.3874
1.7846,1.799,0.014,-0.015,-0.039,0.0807,-0.0465,0.0534,-0.0597,0.0695,0.0777,1.2465,0.7647,359.7034
1.8351,1.8512,0.016,-0.0,0.0843,0.0399,-0.0508,0.0545,-0.0604,0.0717,0.086,1.3017,0.225,359.0908
1.9005,1.9014,0.001,0.0085,0.0986,0.0292,-0.0457,0.0755,-0.08,0.0739,0.0956,1.371,1.4906,357.6858
1.9659,1.9528,-0.013,0.0213,0.074,0.0409,-0.0396,0.0792,-0.0934,0.0748,0.1078,1.4366,2.2462,356.9171
2.0178,2.0033,-0.014,0.008,0.2013,-0.0551,-0.0166,0.0728,-0.1146,0.0755,0.1091,1.4884,1.8845,357.1134
2.0717,2.0549,-0.017,-0.0338,0.0587,-0.0563,0.0094,0.0488,-0.0988,0.0768,0.1055,1.5423,2.0231,357.3942
2.1251,2.1225,-0.003,0.0188,0.1044,-0.1348,0.0004,0.0354,-0.0915,0.0773,0.0979,1.5988,2.3418,357.5319
2.1805,2.1744,-0.006,0.0256,-0.0946,-0.0677,0.0068,0.0319,-0.106,0.0746,0.0892,1.6587,1.6157,357.5164
2.2309,2.2248,-0.006,0.0153,-0.1987,-0.0121,0.0206,0.0251,-0.1016,0.0698,0.0756,1.743,0.3136,358.7003
2.2854,2.2753,-0.01,-0.0161,-0.2032,0.0095,0.0328,0.017,-0.1119,0.0666,0.0685,1.8124,359.7846,358.7368
2.3518,2.3768,0.025,0.0373,-0.0466,0.0426,0.0281,-0.0019,-0.1189,0.0617,0.0653,1.8994,0.0471,357.9632
2.4022,2.3768,-0.025,0.0373,-0.0466,0.0426,0.0281,-0.0019,-0.1189,0.0594,0.0734,1.9544,0.9672,357.619
2.4661,2.4795,0.013,0.0127,0.0853,0.0352,0.0307,-0.0046,-0.1437,0.0601,0.0878,2.022,0.2736,357.6988
2.5175,2.5306,0.013,0.0124,0.091,0.0252,0.0215,-0.0019,-0.1592,0.0611,0.0969,2.0691,1.8535,358.658
2.5724,2.5814,0.009,0.0147,0.2251,-0.0315,0.0038,0.0093,-0.184,0.0623,0.1043,2.1184,1.8754,358.7686
2.6288,2.6327,0.004,-0.0824,0.2395,-0.1797,-0.0212,0.0612,-0.2412,0.0642,0.1045,2.1695,2.1635,358.5319
2.6827,2.6831,0.0,-0.0782,0.0088,-0.0943,-0.0531,0.1031,-0.2768,0.0672,0.1001,2.242,2.4079,358.1846
2.7382,2.7342,-0.004,-0.0374,-0.0021,-0.0962,-0.0918,0.0934,-0.2485,0.0719,0.0907,2.3033,2.2667,358.2283
2.7936,2.7845,-0.009,-0.0133,-0.1412,-0.058,-0.0947,0.0726,-0.1926,0.0744,0.0793,2.3636,1.8025,357.8853
2.851,2.8362,-0.015,-0.0119,-0.2149,-0.0061,-0.0853,0.0389,-0.1242,0.0782,0.0665,2.4468,0.6332,357.6362
2.9049,2.887,-0.018,-0.0186,-0.1481,-0.0148,-0.0738,0.0258,-0.0906,0.0821,0.0647,2.5138,359.1851,357.9119
2.9603,2.9379,-0.022,-0.0735,-0.163,0.0459,-0.0627,0.0144,-0.0396,0.0826,0.0694,2.5706,359.9,357.421
3.0132,2.9893,-0.024,-0.0,-0.0671,0.0733,-0.0609,0.0074,-0.0057,0.085,0.08,2.6207,359.4659,357.0473
3.0681,3.0917,0.024,0.0083,0.2,-0.0153,-0.049,0.0051,0.0437,0.0852,0.0915,2.6866,0.8823,356.4903
3.1225,3.1424,0.02,0.0348,0.1482,0.0527,-0.0386,0.0195,0.0149,0.0846,0.0987,2.7342,2.1972,356.1791
3.177,3.1943,0.017,-0.0075,0.2281,-0.1382,-0.0363,0.0633,-0.0491,0.0824,0.1017,2.7782,1.8637,356.2925
3.2319,3.2618,0.03,0.0421,0.0219,-0.134,-0.0334,0.0832,-0.0764,0.0807,0.0996,2.839,1.5428,357.2625
3.2838,3.2618,-0.022,0.0421,0.0219,-0.134,-0.0334,0.0832,-0.0764,0.0784,0.0894,2.892,1.286,357.2191
3.3502,3.3635,0.013,0.0388,-0.086,-0.0593,0.0317,0.0277,-0.0279,0.0732,0.0739,2.9599,1.9822,356.1454
3.4156,3.4141,-0.002,0.0204,-0.1717,-0.0286,0.0752,0.0094,-0.0357,0.0671,0.0644,3.0282,1.8235,356.3909
3.4685,3.4649,-0.004,-0.0179,-0.237,0.0264,0.0768,0.0008,-0.0409,0.0624,0.0604,3.081,1.0583,357.7322
3.5344,3.5166,-0.018,0.0473,-0.1538,0.0283,0.0672,-0.0162,-0.0135,0.0573,0.0592,3.1481,1.771,358.7962
3.5883,3.5676,-0.021,0.0553,0.0075,0.0086,0.0738,-0.0182,-0.0144,0.0545,0.0675,3.1917,2.437,0.0392
3.6542,3.6694,0.015,-0.0822,0.129,-0.0076,0.0588,0.0121,-0.0732,0.0553,0.0786,3.2467,2.7733,3.2813
3.7071,3.7215,0.014,-0.0303,0.0678,0.0166,0.0273,0.0297,-0.1071,0.0569,0.087,3.2836,3.3481,4.6972
