dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0693,0.08,0.011,0.0191,0.046,0.0163,0.043,0.0775,0.0273,0.0355,0.0744,0.0846,359.7612,3.1372
0.1223,0.1485,0.026,-0.0595,0.0123,0.0627,-0.0014,0.0729,0.0439,0.0351,0.0746,0.086,359.7336,3.033
0.1757,0.2004,0.025,-0.0548,-0.0205,0.0343,-0.0148,0.0612,0.0445,0.0345,0.0724,0.0862,0.3241,3.1334
0.2466,0.2511,0.004,-0.0461,-0.0206,0.0372,-0.0271,0.0479,0.0447,0.0363,0.071,0.0893,0.4876,3.2735
0.3175,0.3024,-0.015,-0.0048,-0.0058,-0.0045,-0.0554,0.0323,0.0412,0.0375,0.0706,0.0923,0.8812,3.2794
0.3918,0.4039,0.012,-0.0094,0.01,0.035,-0.0513,-0.0033,0.0339,0.0388,0.0722,0.0993,0.2683,3.6899
0.4612,0.455,-0.006,0.0129,-0.0429,0.0141,-0.045,-0.0083,0.031,0.0408,0.0733,0.1072,359.8763,4.1769
0.5266,0.5056,-0.021,-0.0265,0.0308,0.0669,-0.0407,-0.0183,0.0315,0.0438,0.0761,0.1173,359.0637,4.2251
0.596,0.6076,0.012,-0.0249,0.0355,0.0585,-0.0362,-0.035,0.0271,0.049,0.0785,0.1321,358.4914,4.0627
0.6619,0.6588,-0.003,0.0094,0.0369,0.0558,-0.0369,-0.044,0.0264,0.0542,0.0784,0.1452,359.2482,4.3724
0.7283,0.7252,-0.003,-0.0333,-0.0037,0.0833,-0.0503,-0.0486,0.0256,0.0597,0.0784,0.1608,359.8713,4.9964
0.7952,0.7762,-0.019,-0.0179,0.036,0.0605,-0.0579,-0.0683,0.0285,0.0641,0.0792,0.1754,359.1147,4.6464
0.8601,0.8801,0.02,-0.0104,-0.0189,0.0577,-0.0317,-0.0637,0.0154,0.0688,0.0792,0.197,358.4993,3.8893
0.9245,0.9317,0.007,-0.0333,-0.0536,0.0694,-0.0161,-0.0584,0.0102,0.0711,0.0796,0.2227,358.7949,2.5655
0.9859,0.9826,-0.003,0.0058,-0.0539,0.0759,-0.0077,-0.0694,0.0081,0.0706,0.0813,0.2518,359.1346,2.1932
1.0498,1.0335,-0.016,-0.044,-0.0018,0.0609,-0.0099,-0.069,0.0016,0.068,0.0824,0.2873,358.6992,2.3348
1.1062,1.1018,-0.004,0.0278,0.0266,0.046,-0.012,-0.0736,-0.0026,0.0656,0.0814,0.3152,358.8538,1.7609
1.1626,1.1526,-0.01,0.0283,-0.0219,0.1013,-0.013,-0.0708,-0.0057,0.062,0.0804,0.3503,359.1837,1.1721
1.2155,1.2033,-0.012,0.055,-0.0269,0.0984,-0.0053,-0.0809,-0.002,0.0585,0.0798,0.3842,358.8762,1.4623
1.271,1.2546,-0.016,0.0388,-0.008,0.11,0.008,-0.0997,-0.0005,0.0551,0.0773,0.4218,358.4752,1.6435
1.3254,1.3226,-0.003,0.03,0.0117,0.133,0.0294,-0.1116,0.0033,0.052,0.0752,0.4616,357.909,1.7087
1.3778,1.3736,-0.004,0.0386,-0.0446,0.0722,0.049,-0.1183,0.0074,0.0464,0.0741,0.5194,357.471,1.2407
1.4337,1.4237,-0.01,0.0567,-0.0424,0.0597,0.0589,-0.1069,0.0057,0.0404,0.0783,0.5638,359.2603,1.0986
1.4916,1.4756,-0.016,0.0474,-0.0152,0.0668,0.076,-0.0969,0.0006,0.0344,0.0917,0.5973,356.5596,359.9035
1.5435,1.5421,-0.001,-0.0047,-0.0471,0.1674,0.0843,-0.0924,0.0025,0.0263,0.0969,0.6438,356.909,359.0207
1.6069,1.5946,-0.012,0.0228,-0.0415,0.1708,0.0853,-0.1304,0.0235,0.018,0.0991,0.6879,357.1734,356.9967
