dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0698,0.0647,-0.005,0.0101,0.0498,0.0041,353.6513,353.0121,306.7201,-0.1056,0.0323,0.126,6.2356,359.2629
0.1398,0.1263,-0.014,-0.0181,0.0247,-0.0361,353.5004,353.593,305.6763,-0.1058,0.0323,0.1392,5.7316,0.0346
0.2098,0.2282,0.018,-0.0591,0.0292,-0.0118,352.934,355.1204,304.4866,-0.1049,0.0308,0.1541,5.2009,0.2096
0.2598,0.2797,0.02,-0.0773,0.0093,-0.0343,352.6058,355.6782,304.3179,-0.1025,0.0306,0.167,6.2212,0.1351
0.3248,0.3298,0.005,-0.0807,0.0059,-0.0121,352.3483,356.2307,303.9928,-0.0977,0.0294,0.1877,7.1241,0.2797
0.3802,0.3815,0.001,-0.045,-0.0134,-0.0109,351.8827,356.9587,303.5659,-0.0929,0.0279,0.2149,7.33,0.7289
0.4401,0.4334,-0.007,-0.0281,-0.0506,0.0293,351.4453,357.035,303.6717,-0.0894,0.0268,0.2411,7.1679,0.8663
0.4904,0.4834,-0.007,-0.04,-0.0019,0.0456,350.9172,357.0695,303.8742,-0.0855,0.0247,0.2682,6.5353,1.5621
0.5401,0.5351,-0.005,-0.0341,0.0143,0.0501,350.5076,357.2533,303.8196,-0.0815,0.0234,0.3006,6.0968,2.2104
0.61,0.5855,-0.024,-0.0214,-0.0067,0.0772,350.0815,357.0342,304.1557,-0.0739,0.0234,0.3479,5.3962,2.2904
0.6797,0.6869,0.007,0.0054,-0.0233,0.1,349.1248,356.0074,305.532,-0.0663,0.0249,0.4028,4.241,1.0649
0.745,0.7382,-0.007,-0.0277,0.0373,0.0774,348.7088,355.1494,306.5514,-0.059,0.0281,0.4611,5.1457,359.9463
0.7999,0.7892,-0.011,-0.0366,0.0614,0.0677,348.382,354.8114,306.9408,-0.0505,0.0379,0.5168,5.3342,359.3029
0.8499,0.8405,-0.009,-0.0137,0.0519,0.0675,348.2021,353.9507,307.9199,-0.0433,0.0473,0.5616,4.2496,359.6609
0.9052,0.8918,-0.013,0.0118,-0.0044,0.0791,348.0472,353.574,308.3684,-0.0402,0.0489,0.6014,3.9178,359.4404
0.9652,0.9428,-0.022,-0.0272,0.1589,-0.1056,348.2756,353.5976,308.3762,-0.0362,0.051,0.6378,4.4378,358.9783
1.0198,1.0451,0.025,0.0209,-0.064,-0.0563,349.5046,354.5443,307.3453,-0.0306,0.0541,0.6886,4.8892,358.8175
