sensor,date,hour,min,sec,x,y,z
Gyro,2019/01/07,17,49,10.3800,-0.42943826,-0.19687314,-0.096935585
Accel,2019/01/07,17,49,10.3820,9.758766,0.23942018,2.1068976
Gyro,2019/01/07,17,49,10.3840,-0.37257543,-0.17367771,-0.08386307
Accel,2019/01/07,17,49,10.3860,9.682152,0.32561144,2.0685902
Gyro,2019/01/07,17,49,10.3870,-0.34471998,-0.15419984,-0.077248275
Accel,2019/01/07,17,49,10.3890,9.749189,0.35434186,2.2218192
Gyro,2019/01/07,17,49,10.3910,-0.31581733,-0.13498376,-0.07119198
Accel,2019/01/07,17,49,10.3920,9.768343,0.4213795,2.2218192
Gyro,2019/01/07,17,49,10.3940,-0.29002136,-0.12021828,-0.06717772
Accel,2019/01/07,17,49,10.3960,9.662998,0.6607997,2.1643584
Gyro,2019/01/07,17,49,10.3970,-0.25769785,-0.0988729,-0.06747443
Accel,2019/01/07,17,49,10.4000,9.615114,0.7374141,2.087744
Gyro,2019/01/07,17,49,10.4020,-0.22485077,-0.076096356,-0.074141584
Accel,2019/01/07,17,49,10.4040,9.634268,0.7182605,1.8387469
Gyro,2019/01/07,17,49,10.4050,-0.19622737,-0.06531022,-0.08602728
Accel,2019/01/07,17,49,10.4069,9.615114,0.7757214,1.6376339
Gyro,2019/01/07,17,49,10.4089,-0.17615607,-0.07065093,-0.10140363
Accel,2019/01/07,17,49,10.4110,9.615114,0.7757214,1.6950948
Gyro,2019/01/07,17,49,10.4130,-0.15728907,-0.07550294,-0.12217305
Accel,2019/01/07,17,49,10.4150,9.662998,0.6703765,1.7046716
Gyro,2019/01/07,17,49,10.4170,-0.13709562,-0.0758171,-0.13720033
Accel,2019/01/07,17,49,10.4200,9.653421,0.5650316,1.7429788
Gyro,2019/01/07,17,49,10.4220,-0.11580259,-0.06887069,-0.13903293
Accel,2019/01/07,17,49,10.4240,9.662998,0.40222588,1.8004397
Gyro,2019/01/07,17,49,10.4260,-0.10128146,-0.06963864,-0.12943362
Accel,2019/01/07,17,49,10.4280,9.662998,0.2681506,1.7429788
Gyro,2019/01/07,17,49,10.4290,-0.094719015,-0.08049458,-0.11395255
Accel,2019/01/07,17,49,10.4330,9.576807,0.24899697,1.7046716
Gyro,2019/01/07,17,49,10.4350,-0.09159488,-0.09501573,-0.098820545
Accel,2019/01/07,17,49,10.4360,9.548077,0.24899697,1.934515
Gyro,2019/01/07,17,49,10.4390,-0.08660324,-0.098820545,-0.08578293
Accel,2019/01/07,17,49,10.4410,9.672575,0.10534488,2.0494366
Gyro,2019/01/07,17,49,10.4450,-0.085329145,-0.09201376,-0.07719591
Accel,2019/01/07,17,49,10.4470,9.787497,0.009576807,2.1547816
Gyro,2019/01/07,17,49,10.4490,-0.08290314,-0.07995354,-0.06496116
Accel,2019/01/07,17,49,10.4510,9.873688,-0.038307227,2.2505496
Gyro,2019/01/07,17,49,10.4520,-0.078487456,-0.065903634,-0.041783184
Accel,2019/01/07,17,49,10.4540,9.825804,0.02873042,2.1260512
Gyro,2019/01/07,17,49,10.4560,-0.07853982,-0.055169858,-0.014782939
Accel,2019/01/07,17,49,10.4570,9.739613,0.15322891,2.0494366
Gyro,2019/01/07,17,49,10.4590,-0.08489282,-0.04787438,0.005305801
Accel,2019/01/07,17,49,10.4610,9.816227,0.10534488,1.8483237
Gyro,2019/01/07,17,49,10.4620,-0.07553785,-0.04251622,0.022165682
Accel,2019/01/07,17,49,10.4640,9.864111,0.11492168,1.733402
Gyro,2019/01/07,17,49,10.4650,-0.06810275,-0.038344882,0.03281219
Accel,2019/01/07,17,49,10.4670,9.844957,0.15322891,1.7142484
Gyro,2019/01/07,17,49,10.4680,-0.062378068,-0.03562217,0.038048178
Accel,2019/01/07,17,49,10.4700,9.825804,0.1340753,1.7812861
Gyro,2019/01/07,17,49,10.4720,-0.056688294,-0.033440508,0.041469023
Accel,2019/01/07,17,49,10.4740,9.787497,0.08619126,1.9057846
Gyro,2019/01/07,17,49,10.4760,-0.050230574,-0.032375857,0.04469788
Accel,2019/01/07,17,49,10.4770,9.720459,0.10534488,2.1930888
Gyro,2019/01/07,17,49,10.4790,-0.049637165,-0.033196162,0.046355944
Accel,2019/01/07,17,49,10.4800,9.672575,0.16280572,2.183512
Gyro,2019/01/07,17,49,10.4820,-0.049113564,-0.035185836,0.045169123
Accel,2019/01/07,17,49,10.4830,9.615114,0.22984336,2.030283
Gyro,2019/01/07,17,49,10.4860,-0.05162684,-0.03811799,0.04230678
Accel,2019/01/07,17,49,10.4870,9.634268,0.22984336,2.0111294
Gyro,2019/01/07,17,49,10.4880,-0.056758106,-0.03754203,0.039880775
Accel,2019/01/07,17,49,10.4890,9.682152,0.17238252,1.9632454
Gyro,2019/01/07,17,49,10.4910,-0.06499606,-0.03213151,0.039584067
Accel,2019/01/07,17,49,10.4920,9.624691,0.24899697,1.9057846
Gyro,2019/01/07,17,49,10.4940,-0.07106981,-0.027262043,0.038571775
Accel,2019/01/07,17,49,10.4960,9.56723,0.2873042,1.9057846
Gyro,2019/01/07,17,49,10.4970,-0.085311696,-0.025080381,0.032637656
Accel,2019/01/07,17,49,10.4990,9.56723,0.22984336,2.0015526
Gyro,2019/01/07,17,49,10.5010,-0.09669124,-0.023614304,0.026529005
Accel,2019/01/07,17,49,10.5030,9.605537,0.25857377,2.1260512
Gyro,2019/01/07,17,49,10.5040,-0.09210102,-0.020664698,0.02432989
Accel,2019/01/07,17,49,10.5060,9.586384,0.32561144,2.1739352
Gyro,2019/01/07,17,49,10.5070,-0.08709193,-0.017715093,0.022252947
Accel,2019/01/07,17,49,10.5090,9.576807,0.35434186,2.1452048
Gyro,2019/01/07,17,49,10.5110,-0.08148942,-0.014713125,0.020647245
Accel,2019/01/07,17,49,10.5120,9.643845,0.32561144,2.0590134
Gyro,2019/01/07,17,49,10.5140,-0.08360127,-0.012845623,0.021607175
Accel,2019/01/07,17,49,10.5150,9.653421,0.29688102,2.030283
Gyro,2019/01/07,17,49,10.5160,-0.06944665,-0.011868238,0.029513517
Accel,2019/01/07,17,49,10.5180,9.624691,0.34476504,1.9632454
Gyro,2019/01/07,17,49,10.5190,-0.012618731,-0.0021467549,0.007033677
Accel,2019/01/07,17,49,10.5210,9.643845,0.35434186,1.8770541
Gyro,2019/01/07,17,49,10.5220,-0.012252212,-0.001972222,0.009442232
Accel,2019/01/07,17,49,10.5230,9.634268,0.4309563,1.8579005
Gyro,2019/01/07,17,49,10.5250,-0.012409291,-0.0017976891,0.011938052
Accel,2019/01/07,17,49,10.5260,9.605537,0.50757074,1.9153614
Gyro,2019/01/07,17,49,10.5280,-0.013631022,-0.0017104227,0.013421582
Accel,2019/01/07,17,49,10.5290,9.739613,0.41180268,1.9919758
Gyro,2019/01/07,17,49,10.5310,-0.014957472,-0.0014137167,0.014276793
Accel,2019/01/07,17,49,10.5350,9.854534,0.35434186,2.0015526
Gyro,2019/01/07,17,49,10.5370,-0.015777776,-4.1887903E-4,0.014503686
Accel,2019/01/07,17,49,10.5380,9.854534,0.4405331,1.9153614
Gyro,2019/01/07,17,49,10.5420,-0.016196655,0.0011868239,0.013735741
Accel,2019/01/07,17,49,10.5430,9.80665,0.49799395,1.8387469
Gyro,2019/01/07,17,49,10.5460,-0.017051866,0.0028797933,0.012531464
Accel,2019/01/07,17,49,10.5480,9.758766,0.48841715,1.9919758
Gyro,2019/01/07,17,49,10.5510,-0.018046705,0.003926991,0.0113620935
Accel,2019/01/07,17,49,10.5520,9.787497,0.40222588,2.1452048
Gyro,2019/01/07,17,49,10.5540,-0.018779743,0.004590216,0.010611602
Accel,2019/01/07,17,49,10.5550,9.816227,0.32561144,2.2122424
Gyro,2019/01/07,17,49,10.5570,-0.021135937,0.0048520155,0.009424778
Accel,2019/01/07,17,49,10.5580,9.80665,0.25857377,2.1930888
Gyro,2019/01/07,17,49,10.5600,-0.02380629,0.004642576,0.0069115036
Accel,2019/01/07,17,49,10.5610,9.710882,0.25857377,2.078167
Gyro,2019/01/07,17,49,10.5620,-0.025621433,0.0043807765,0.0037699111
Accel,2019/01/07,17,49,10.5639,9.682152,0.17238252,1.8962077
Gyro,2019/01/07,17,49,10.5649,-0.027157323,0.003996804,0.0012740904
Accel,2019/01/07,17,49,10.5669,9.653421,0.10534488,1.6567876
Gyro,2019/01/07,17,49,10.5689,-0.15826645,0.019006636,-0.0033161256
Accel,2019/01/07,17,49,10.5699,9.730036,-0.02873042,1.9536686
Gyro,2019/01/07,17,49,10.5719,-0.16927949,0.016441,-0.008290314
Accel,2019/01/07,17,49,10.5729,9.835381,-0.15322891,2.0111294
Gyro,2019/01/07,17,49,10.5750,-0.16463691,0.014643312,-0.005742133
Accel,2019/01/07,17,49,10.5760,9.77792,-0.076614454,1.8483237
Gyro,2019/01/07,17,49,10.5770,-0.1571669,0.013316862,-0.0035081117
Accel,2019/01/07,17,49,10.5780,9.682152,0.02873042,1.9057846
Gyro,2019/01/07,17,49,10.5800,-0.14592698,0.01282817,-0.0025481808
Accel,2019/01/07,17,49,10.5810,9.749189,-0.06703765,2.078167
Gyro,2019/01/07,17,49,10.5830,-0.12821189,0.012444197,-0.0015358897
Accel,2019/01/07,17,49,10.5840,9.797073,-0.095768064,2.0685902
Gyro,2019/01/07,17,49,10.5860,-0.12175417,0.011205014,0.0018849556
Accel,2019/01/07,17,49,10.5870,9.672575,0.02873042,2.0111294
Gyro,2019/01/07,17,49,10.5890,-0.10979866,0.010018189,0.010925761
Accel,2019/01/07,17,49,10.5910,9.634268,0.02873042,2.1164744
Gyro,2019/01/07,17,49,10.5920,-0.096359625,0.009686577,0.021450097
Accel,2019/01/07,17,49,10.5930,9.825804,-0.12449849,2.2409728
Gyro,2019/01/07,17,49,10.5950,-0.086306535,0.011536626,0.03090978
Accel,2019/01/07,17,49,10.5960,9.825804,-0.08619126,2.2026656
Gyro,2019/01/07,17,49,10.5980,-0.07916813,0.015097098,0.038240165
Accel,2019/01/07,17,49,10.6130,9.624691,0.047884032,1.9728222
Gyro,2019/01/07,17,49,10.6150,-0.07033677,0.017854718,0.043266714
Accel,2019/01/07,17,49,10.6170,9.500193,0.06703765,1.7046716
Gyro,2019/01/07,17,49,10.6190,-0.06244788,0.016266469,0.045884706
Accel,2019/01/07,17,49,10.6260,9.461885,0.019153614,1.7238252
Gyro,2019/01/07,17,49,10.6280,-0.058660515,0.012845623,0.04796165
Accel,2019/01/07,17,49,10.6400,9.576807,-0.038307227,1.8866309
Gyro,2019/01/07,17,49,10.6460,-0.0567232,0.010245083,0.051330134
Accel,2019/01/07,17,49,10.6490,9.682152,-0.1340753,2.0207062
Gyro,2019/01/07,17,49,10.6520,-0.059079394,0.008709193,0.05667084
Accel,2019/01/07,17,49,10.6570,9.662998,-0.16280572,2.0685902
Gyro,2019/01/07,17,49,10.6590,-0.058747783,0.0056374134,0.063006386
Accel,2019/01/07,17,49,10.6760,9.595961,-0.10534488,2.0015526
Gyro,2019/01/07,17,49,10.6780,-0.07112217,3.8397242E-4,0.06555457
Accel,2019/01/07,17,49,10.6790,9.557653,-0.05746084,1.8866309
Gyro,2019/01/07,17,49,10.6929,-0.07993608,-0.006213372,0.06866125
Accel,2019/01/07,17,49,10.6949,9.548077,0.0,1.9632454
Gyro,2019/01/07,17,49,10.6969,-0.086638145,-0.009843657,0.07162831
Accel,2019/01/07,17,49,10.6990,9.643845,0.019153614,2.0973208
Gyro,2019/01/07,17,49,10.7020,-0.10752974,-0.00832522,0.072117
Accel,2019/01/07,17,49,10.7100,9.768343,0.019153614,2.183512
Gyro,2019/01/07,17,49,10.7110,-0.110933125,-0.0043458696,0.0776497
Accel,2019/01/07,17,49,10.7190,9.844957,0.08619126,2.2601264
Gyro,2019/01/07,17,49,10.7200,-0.10543534,-0.0010297443,0.081454515
Accel,2019/01/07,17,49,10.7260,9.873688,0.18195933,2.078167
Gyro,2019/01/07,17,49,10.7280,-0.09868091,-1.3962634E-4,0.08058185
Accel,2019/01/07,17,49,10.7380,9.710882,0.39264908,1.7812861
Gyro,2019/01/07,17,49,10.7400,-0.086795226,7.15585E-4,0.07665486
Accel,2019/01/07,17,49,10.7470,9.691729,0.38307226,1.7046716
Gyro,2019/01/07,17,49,10.7500,-0.07972664,0.0014660766,0.072396256
Accel,2019/01/07,17,49,10.7590,9.854534,0.19153613,1.8004397
Gyro,2019/01/07,17,49,10.7600,-0.070598565,6.6322513E-4,0.07255334
Accel,2019/01/07,17,49,10.7690,9.892841,0.19153613,1.934515
Gyro,2019/01/07,17,49,10.7710,-0.061348323,-0.0012740904,0.072640605
Accel,2019/01/07,17,49,10.7760,9.883265,0.15322891,2.0685902
Gyro,2019/01/07,17,49,10.7770,-0.05422738,-0.0027925267,0.0707731
Accel,2019/01/07,17,49,10.7860,9.921572,-0.10534488,2.1930888
Gyro,2019/01/07,17,49,10.7880,-0.039287362,-0.003106686,0.07408923
Accel,2019/01/07,17,49,10.7950,9.873688,-0.06703765,2.2026656
Gyro,2019/01/07,17,49,10.7970,-0.023858652,-0.003228859,0.07826056
Accel,2019/01/07,17,49,10.8060,9.768343,0.11492168,2.183512
Gyro,2019/01/07,17,49,10.8080,-0.0068591437,-0.003036873,0.0782082
Accel,2019/01/07,17,49,10.8159,9.672575,0.33518824,2.3750482
Gyro,2019/01/07,17,49,10.8260,-1.7453292E-4,-0.0013788101,0.06977826
Accel,2019/01/07,17,49,10.8270,9.691729,0.35434186,2.8634653
Gyro,2019/01/07,17,49,10.8280,0.009389872,-1.5707963E-4,0.05899213
Accel,2019/01/07,17,49,10.8370,9.710882,0.32561144,3.0262709
Gyro,2019/01/07,17,49,10.8390,0.02115339,0.0075223693,0.049375363
Accel,2019/01/07,17,49,10.8460,9.643845,0.4405331,2.6910827
Gyro,2019/01/07,17,49,10.8520,0.035377823,0.032375857,0.042411502
Accel,2019/01/07,17,49,10.8600,9.548077,0.59376204,2.432509
Gyro,2019/01/07,17,49,10.8620,0.050597094,0.06768387,0.039235003
Accel,2019/01/07,17,49,10.8650,9.624691,0.59376204,2.3080103
Gyro,2019/01/07,17,49,10.8670,0.06265732,0.094055794,0.03382448
Accel,2019/01/07,17,49,10.8760,9.682152,0.59376204,2.1452048
Gyro,2019/01/07,17,49,10.8780,0.07309439,0.10341076,0.013962634
Accel,2019/01/07,17,49,10.8870,9.615114,0.6703765,1.8770541
Gyro,2019/01/07,17,49,10.8880,0.07180285,0.09798279,-0.018483037
Accel,2019/01/07,17,49,10.8950,9.624691,0.641646,1.8674773
Gyro,2019/01/07,17,49,10.8970,0.07513642,0.08628908,-0.047630034
Accel,2019/01/07,17,49,10.9060,9.691729,0.5267244,1.9632454
Gyro,2019/01/07,17,49,10.9080,0.07283259,0.07408923,-0.072902404
Accel,2019/01/07,17,49,10.9150,9.710882,0.4309563,2.0111294
Gyro,2019/01/07,17,49,10.9180,0.07002261,0.06405358,-0.090093896
Accel,2019/01/07,17,49,10.9260,9.615114,0.40222588,2.135628
Gyro,2019/01/07,17,49,10.9270,0.06977826,0.057700586,-0.09796533
Accel,2019/01/07,17,49,10.9380,9.605537,0.2873042,2.2601264
Gyro,2019/01/07,17,49,10.9400,0.058451075,0.053651422,-0.10051351
Accel,2019/01/07,17,49,10.9460,9.643845,0.095768064,2.2505496
Gyro,2019/01/07,17,49,10.9480,0.050893802,0.052098077,-0.09573131
Accel,2019/01/07,17,49,10.9560,9.586384,0.038307227,2.1164744
Gyro,2019/01/07,17,49,10.9590,0.053319808,0.053284902,-0.08707447
Accel,2019/01/07,17,49,10.9650,9.595961,0.05746084,2.030283
Gyro,2019/01/07,17,49,10.9670,0.049480084,0.055361845,-0.081786126
Accel,2019/01/07,17,49,10.9760,9.615114,0.095768064,1.934515
Gyro,2019/01/07,17,49,10.9780,0.041364305,0.055309486,-0.07967428
Accel,2019/01/07,17,49,10.9850,9.615114,0.095768064,1.9919758
Gyro,2019/01/07,17,49,10.9890,0.03473205,0.053930674,-0.07770206
Accel,2019/01/07,17,49,10.9960,9.624691,-0.02873042,2.0973208
Gyro,2019/01/07,17,49,10.9980,0.030281462,0.05490806,-0.07332128
Accel,2019/01/07,17,49,11.0060,9.56723,-0.20111294,2.078167
Gyro,2019/01/07,17,49,11.0070,0.024504423,0.054890607,-0.065903634
Accel,2019/01/07,17,49,11.0150,9.490616,-0.25857377,2.0494366
Gyro,2019/01/07,17,49,11.0170,0.02008874,0.050527282,-0.058398716
Accel,2019/01/07,17,49,11.0260,9.471462,-0.21068975,1.8962077
Gyro,2019/01/07,17,49,11.0280,0.018884463,0.041975167,-0.051539574
Accel,2019/01/07,17,49,11.0350,9.452309,-0.11492168,1.9536686
Gyro,2019/01/07,17,49,11.0370,0.013578662,0.03408628,-0.046879545
Accel,2019/01/07,17,49,11.0470,9.624691,-0.08619126,2.2122424
Gyro,2019/01/07,17,49,11.0490,0.009721484,0.031206487,-0.039793506
Accel,2019/01/07,17,49,11.0570,9.77792,-0.08619126,2.327164
Gyro,2019/01/07,17,49,11.0610,0.0058643064,0.031625368,-0.026022859
Accel,2019/01/07,17,49,11.0660,9.902418,0.019153614,2.5570073
Gyro,2019/01/07,17,49,11.0670,0.0038397242,0.036250487,-0.0067020645
Accel,2019/01/07,17,49,11.0760,9.797073,0.08619126,2.2122424
Gyro,2019/01/07,17,49,11.0780,-0.0010995574,0.041556288,0.0075223693
Accel,2019/01/07,17,49,11.0850,9.672575,0.22026655,1.9632454
Gyro,2019/01/07,17,49,11.0869,-0.005846853,0.045029495,0.012531464
Accel,2019/01/07,17,49,11.0960,9.749189,0.20111294,1.8770541
Gyro,2019/01/07,17,49,11.0980,-0.0035081117,0.04701917,0.013735741
Accel,2019/01/07,17,49,11.1050,9.797073,0.23942018,1.9728222
Gyro,2019/01/07,17,49,11.1090,0.0017278759,0.04639085,0.010576695
Accel,2019/01/07,17,49,11.1160,9.710882,0.34476504,2.1164744
Gyro,2019/01/07,17,49,11.1170,-0.0067020645,0.04351106,0.0037699111
Accel,2019/01/07,17,49,11.1260,9.768343,0.25857377,2.1643584
Gyro,2019/01/07,17,49,11.1280,-0.009075712,0.0400204,0.0017802358
Accel,2019/01/07,17,49,11.1350,9.77792,0.25857377,2.1164744
Gyro,2019/01/07,17,49,11.1380,-0.0136833815,0.033353243,-0.0015882496
Accel,2019/01/07,17,49,11.1470,9.662998,0.45968673,2.183512
Gyro,2019/01/07,17,49,11.1490,-0.014887659,0.024661502,-0.006126106
Accel,2019/01/07,17,49,11.1550,9.643845,0.4213795,2.3080103
Gyro,2019/01/07,17,49,11.1620,-0.023090705,0.021397736,-0.012897983
Accel,2019/01/07,17,49,11.1650,9.682152,0.2873042,2.528277
Gyro,2019/01/07,17,49,11.1680,-0.03689626,0.011239921,-0.017191494
Accel,2019/01/07,17,49,11.1760,9.883265,0.15322891,2.6527755
Gyro,2019/01/07,17,49,11.1780,-0.05787512,-0.0018325957,-0.016999507
Accel,2019/01/07,17,49,11.1860,9.931149,0.23942018,2.5091233
Gyro,2019/01/07,17,49,11.1870,-0.077597335,-0.009110618,-0.016144296
Accel,2019/01/07,17,49,11.1970,9.844957,0.31603462,2.3654714
Gyro,2019/01/07,17,49,11.1990,-0.088435836,-0.009581857,-0.016179202
Accel,2019/01/07,17,49,11.2050,9.720459,0.2681506,2.2026656
Gyro,2019/01/07,17,49,11.2080,-0.09536479,-0.0055676005,-0.015969763
Accel,2019/01/07,17,49,11.2160,9.500193,0.2681506,2.1260512
Gyro,2019/01/07,17,49,11.2170,-0.100391336,-9.773844E-4,-0.00715585
Accel,2019/01/07,17,49,11.2270,9.433155,0.1436521,2.231396
Gyro,2019/01/07,17,49,11.2290,-0.08953539,0.003228859,0.011205014
Accel,2019/01/07,17,49,11.2360,9.500193,0.019153614,2.2409728
Gyro,2019/01/07,17,49,11.2370,-0.08485791,0.0054454273,0.02994985
Accel,2019/01/07,17,49,11.2460,9.576807,-0.009576807,2.1739352
Gyro,2019/01/07,17,49,11.2480,-0.08443903,0.0056199604,0.04527384
Accel,2019/01/07,17,49,11.2560,9.595961,0.06703765,2.1643584
Gyro,2019/01/07,17,49,11.2580,-0.07442084,0.007958702,0.05461135
Accel,2019/01/07,17,49,11.2660,9.662998,0.10534488,2.0973208
Gyro,2019/01/07,17,49,11.2680,-0.06649704,0.009372418,0.054000486
Accel,2019/01/07,17,49,11.2750,9.682152,0.16280572,2.078167
Gyro,2019/01/07,17,49,11.2800,-0.069202304,0.009686577,0.045675267
Accel,2019/01/07,17,49,11.2859,9.710882,0.22026655,2.1930888
Gyro,2019/01/07,17,49,11.2870,-0.05794493,0.011920598,0.03954916
Accel,2019/01/07,17,49,11.2970,9.873688,0.15322891,2.2697031
Gyro,2019/01/07,17,49,11.2990,-0.034924038,0.017523106,0.037611846
Accel,2019/01/07,17,49,11.3060,9.844957,0.22984336,2.3750482
Gyro,2019/01/07,17,49,11.3070,-0.029688051,0.025150195,0.033004176
Accel,2019/01/07,17,49,11.3160,9.720459,0.22984336,2.3175871
Gyro,2019/01/07,17,49,11.3180,-0.034191,0.03031637,0.027523842
Accel,2019/01/07,17,49,11.3260,9.653421,0.18195933,2.1739352
Gyro,2019/01/07,17,49,11.3280,-0.03764675,0.0315381,0.020228365
Accel,2019/01/07,17,49,11.3370,9.634268,0.1340753,2.1260512
Gyro,2019/01/07,17,49,11.3390,-0.03954916,0.030665435,0.007120943
Accel,2019/01/07,17,49,11.3479,9.768343,-0.076614454,1.8387469
