sensor,date,hour,min,sec,x,y,z
Accel,2019/01/16,11,39,00.0570,9.921572,-0.076614454,2.2888567
Gyro,2019/01/16,11,39,00.0630,0.008674286,0.031154128,-0.008691739
Accel,2019/01/16,11,39,00.0660,9.80665,0.038307227,2.1260512
Gyro,2019/01/16,11,39,00.0700,0.006161012,0.025307273,-0.009616764
Accel,2019/01/16,11,39,00.0760,9.624691,0.06703765,1.9153614
Gyro,2019/01/16,11,39,00.0780,-0.0042935098,0.011484266,-0.012025318
Accel,2019/01/16,11,39,00.0800,9.710882,0.0,2.0973208
Gyro,2019/01/16,11,39,00.0820,-0.018256145,-0.0052010813,-0.014974925
Accel,2019/01/16,11,39,00.0840,9.873688,-0.05746084,2.27928
Gyro,2019/01/16,11,39,00.0869,-0.030246556,-0.016842427,-0.017208947
Accel,2019/01/16,11,39,00.0890,9.624691,0.0,2.078167
Gyro,2019/01/16,11,39,00.0910,-0.040072758,-0.027157323,-0.019198623
Accel,2019/01/16,11,39,00.0930,9.710882,-0.095768064,2.231396
Gyro,2019/01/16,11,39,00.0950,-0.047368236,-0.034540065,-0.020245818
Accel,2019/01/16,11,39,00.0970,9.768343,0.009576807,2.0015526
Gyro,2019/01/16,11,39,00.1000,-0.052307516,-0.03944444,-0.020978857
Accel,2019/01/16,11,39,00.1010,9.787497,0.047884032,2.1930888
Gyro,2019/01/16,11,39,00.1030,-0.05152212,-0.03906047,-0.02104867
Accel,2019/01/16,11,39,00.1040,9.749189,-0.047884032,1.8770541
Gyro,2019/01/16,11,39,00.1110,-0.048310712,-0.037734017,-0.020909045
Accel,2019/01/16,11,39,00.1130,9.710882,-0.076614454,1.9919758
Gyro,2019/01/16,11,39,00.1160,-0.049131017,-0.038728856,-0.022357667
Accel,2019/01/16,11,39,00.1170,9.691729,0.047884032,1.8100165
Gyro,2019/01/16,11,39,00.1190,-0.05496042,-0.043615777,-0.026127579
Accel,2019/01/16,11,39,00.1210,9.80665,0.076614454,1.9919758
Gyro,2019/01/16,11,39,00.1240,-0.06133087,-0.04590216,-0.030752702
Accel,2019/01/16,11,39,00.1260,9.816227,0.019153614,2.183512
Gyro,2019/01/16,11,39,00.1270,-0.06133087,-0.04590216,-0.030752702
Accel,2019/01/16,11,39,00.1290,9.816227,0.019153614,2.183512
Gyro,2019/01/16,11,39,00.1300,0.0,0.0,0.0
Accel,2019/01/16,11,39,00.1320,9.77792,-0.05746084,2.1164744
Gyro,2019/01/16,11,39,00.1340,-0.22410028,-0.02401573,-0.020315632
Accel,2019/01/16,11,39,00.1360,9.816227,-0.076614454,1.7142484
Gyro,2019/01/16,11,39,00.1380,-0.38362336,-0.12447688,-0.05333726
Accel,2019/01/16,11,39,00.1400,9.739613,-0.047884032,1.4556746
Gyro,2019/01/16,11,39,00.1409,-0.505936,-0.23572417,-0.076934114
Accel,2019/01/16,11,39,00.1419,9.643845,-0.047884032,1.340753
Gyro,2019/01/16,11,39,00.1440,-0.5956809,-0.34168312,-0.09103637
Accel,2019/01/16,11,39,00.1460,9.634268,-0.10534488,1.5705963
Gyro,2019/01/16,11,39,00.1470,-0.5706179,-0.35021776,-0.084665924
Accel,2019/01/16,11,39,00.1480,9.844957,-0.29688102,1.7142484
Gyro,2019/01/16,11,39,00.1500,-0.5185722,-0.32562608,-0.06396632
Accel,2019/01/16,11,39,00.1510,9.892841,-0.19153613,1.8195933
Gyro,2019/01/16,11,39,00.1530,-0.4509058,-0.29002136,-0.03600614
Accel,2019/01/16,11,39,00.1540,9.883265,-0.095768064,2.0398598
Gyro,2019/01/16,11,39,00.1560,-0.39393827,-0.24788912,-0.016423548
Accel,2019/01/16,11,39,00.1570,9.931149,-0.076614454,2.183512
Gyro,2019/01/16,11,39,00.1580,-0.33616787,-0.2085494,-0.003944444
Accel,2019/01/16,11,39,00.1590,9.80665,-0.009576807,2.1643584
Gyro,2019/01/16,11,39,00.1610,-0.26715755,-0.18507472,0.0050440016
Accel,2019/01/16,11,39,00.1620,9.691729,0.02873042,2.0111294
Gyro,2019/01/16,11,39,00.1630,-0.21383774,-0.15200073,0.0074874624
Accel,2019/01/16,11,39,00.1650,9.720459,0.0,1.9728222
Gyro,2019/01/16,11,39,00.1660,-0.14955726,-0.106726885,0.01155408
Accel,2019/01/16,11,39,00.1680,9.758766,-0.02873042,2.030283
Gyro,2019/01/16,11,39,00.1700,-0.10208431,-0.061156336,0.013753194
Accel,2019/01/16,11,39,00.1719,9.77792,0.0,1.9249382
Gyro,2019/01/16,11,39,00.1739,-0.07134906,-0.03267256,0.01441642
Accel,2019/01/16,11,39,00.1750,9.758766,0.019153614,1.685518
Gyro,2019/01/16,11,39,00.1770,-0.059602994,-0.029722957,0.013020156
Accel,2019/01/16,11,39,00.1790,9.672575,0.047884032,1.4748282
Gyro,2019/01/16,11,39,00.1810,-0.05927138,-0.038152896,0.0068940506
Accel,2019/01/16,11,39,00.1820,9.643845,-0.019153614,1.6376339
Gyro,2019/01/16,11,39,00.1850,-0.05953318,-0.041975167,-1.7453292E-5
Accel,2019/01/16,11,39,00.1860,9.672575,-0.12449849,2.087744
Gyro,2019/01/16,11,39,00.1880,-0.057316612,-0.037768926,-0.0038048178
Accel,2019/01/16,11,39,00.1890,9.701305,-0.1340753,2.1164744
Gyro,2019/01/16,11,39,00.1910,-0.051818825,-0.030979594,-0.0043807765
Accel,2019/01/16,11,39,00.1920,9.701305,-0.10534488,1.9440918
Gyro,2019/01/16,11,39,00.1940,-0.044383723,-0.024940755,-0.0034557518
Accel,2019/01/16,11,39,00.1950,9.662998,-0.06703765,1.9440918
Gyro,2019/01/16,11,39,00.1960,-0.04597197,-0.019373154,-0.0042935098
Accel,2019/01/16,11,39,00.1970,9.682152,-0.12449849,1.9440918
Gyro,2019/01/16,11,39,00.1990,-0.055710908,-0.014625859,-0.0058119465
Accel,2019/01/16,11,39,00.2000,9.691729,-0.18195933,1.8004397
Gyro,2019/01/16,11,39,00.2010,-0.047368236,-0.010227629,-0.0037873646
Accel,2019/01/16,11,39,00.2020,9.672575,-0.15322891,1.733402
Gyro,2019/01/16,11,39,00.2039,-0.033946656,-0.00710349,-0.0016929694
Accel,2019/01/16,11,39,00.2050,9.77792,-0.15322891,1.7908629
Gyro,2019/01/16,11,39,00.2060,-0.030455995,-0.006021386,5.7595863E-4
Accel,2019/01/16,11,39,00.2070,9.854534,-0.05746084,1.8195933
Gyro,2019/01/16,11,39,00.2090,-0.032637656,-0.006126106,0.0025830872
Accel,2019/01/16,11,39,00.2100,9.80665,0.0,1.6567876
Gyro,2019/01/16,11,39,00.2120,-0.033772122,-0.0074874624,0.003036873
Accel,2019/01/16,11,39,00.2130,9.797073,-0.019153614,1.4652514
Gyro,2019/01/16,11,39,00.2150,-0.034766957,-0.007993608,0.0021467549
Accel,2019/01/16,11,39,00.2160,9.797073,-0.009576807,1.3790601
Gyro,2019/01/16,11,39,00.2180,-0.036774088,-0.0108908545,2.443461E-4
Accel,2019/01/16,11,39,00.2190,9.662998,-0.12449849,1.3790601
Gyro,2019/01/16,11,39,00.2200,-0.04426155,-0.02232276,-0.0015707964
Accel,2019/01/16,11,39,00.2210,9.816227,-0.32561144,1.7046716
Gyro,2019/01/16,11,39,00.2230,-0.055152405,-0.03567453,-0.0014660766
Accel,2019/01/16,11,39,00.2240,9.835381,-0.32561144,1.9632454
Gyro,2019/01/16,11,39,00.2260,-0.06527531,-0.04691445,7.853982E-4
Accel,2019/01/16,11,39,00.2270,9.864111,-0.29688102,1.9536686
Gyro,2019/01/16,11,39,00.2290,-0.06855653,-0.052516956,0.00413643
Accel,2019/01/16,11,39,00.2300,9.911995,-0.1340753,2.27928
Gyro,2019/01/16,11,39,00.2320,-0.05787512,-0.040858157,0.008307767
Accel,2019/01/16,11,39,00.2330,10.036493,-0.02873042,2.5091233
Gyro,2019/01/16,11,39,00.2350,-0.04335398,-0.022200588,0.01160644
Accel,2019/01/16,11,39,00.2360,10.01734,0.038307227,2.2601264
Gyro,2019/01/16,11,39,00.2380,-0.039636426,-0.010088003,0.011658799
Accel,2019/01/16,11,39,00.2400,9.873688,0.076614454,2.0207062
Gyro,2019/01/16,11,39,00.2420,-0.043179445,-0.009075712,0.008848819
Accel,2019/01/16,11,39,00.2430,9.710882,0.05746084,1.7525556
Gyro,2019/01/16,11,39,00.2450,-0.040788345,5.5850536E-4,0.0048694685
Accel,2019/01/16,11,39,00.2470,9.528923,0.0,1.541866
Gyro,2019/01/16,11,39,00.2480,-0.031346112,0.013788101,0.0028448866
Accel,2019/01/16,11,39,00.2490,9.404425,-0.11492168,1.4269443
Gyro,2019/01/16,11,39,00.2510,-0.024888394,0.014782939,0.0024609142
Accel,2019/01/16,11,39,00.2520,9.442732,-0.17238252,1.3982137
Gyro,2019/01/16,11,39,00.2560,-0.037245326,0.0032114058,-8.0285146E-4
Accel,2019/01/16,11,39,00.2570,9.528923,-0.22026655,1.685518
Gyro,2019/01/16,11,39,00.2580,-0.056531213,-0.005899213,-0.0050614546
Accel,2019/01/16,11,39,00.2600,9.653421,-0.2873042,2.4133554
Gyro,2019/01/16,11,39,00.2610,-0.0628144,-0.0050090947,-0.0057595866
Accel,2019/01/16,11,39,00.2620,10.007763,-0.29688102,2.873042
Gyro,2019/01/16,11,39,00.2640,-0.06012659,0.002321288,-0.004642576
Accel,2019/01/16,11,39,00.2650,10.04607,-0.095768064,2.432509
Gyro,2019/01/16,11,39,00.2670,-0.054576445,0.009564404,-0.003979351
Accel,2019/01/16,11,39,00.2680,9.643845,0.11492168,2.0207062
Gyro,2019/01/16,11,39,00.2700,-0.056129787,0.015201817,-0.004223697
Accel,2019/01/16,11,39,00.2720,9.452309,0.21068975,1.9919758
Gyro,2019/01/16,11,39,00.2730,-0.054890607,0.021642083,-0.0037873646
Accel,2019/01/16,11,39,00.2740,9.605537,0.16280572,2.078167
Gyro,2019/01/16,11,39,00.2760,-0.054942966,0.03265511,-0.0039095376
Accel,2019/01/16,11,39,00.2770,9.682152,0.1340753,2.2984335
Gyro,2019/01/16,11,39,00.2790,-0.038013272,0.05263913,-0.0016755161
Accel,2019/01/16,11,39,00.2810,9.720459,0.23942018,2.2888567
Gyro,2019/01/16,11,39,00.2829,-0.030159289,0.0678584,-0.0028448866
Accel,2019/01/16,11,39,00.2839,9.682152,0.29688102,1.9919758
Gyro,2019/01/16,11,39,00.2859,-0.035918877,0.06738716,-0.005323254
Accel,2019/01/16,11,39,00.2870,9.500193,0.20111294,1.6472107
