date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,56.4422,-0.0097,0.0737,0.0897,1.4226,358.1930
2019-01-16,11,39,56.4801,-0.0112,0.0727,0.0903,1.9076,358.6048
2019-01-16,11,39,56.5196,-0.0119,0.0734,0.0911,1.5199,358.9081
2019-01-16,11,39,56.5555,-0.0127,0.0739,0.0922,1.1757,358.8513
2019-01-16,11,39,56.5939,-0.0134,0.0742,0.0933,1.1323,358.6227
2019-01-16,11,39,56.6314,-0.0140,0.0737,0.0944,1.2812,358.3730
2019-01-16,11,39,56.6683,-0.0147,0.0731,0.0958,1.6075,358.2919
2019-01-16,11,39,56.7053,-0.0153,0.0729,0.0972,1.6019,358.2656
2019-01-16,11,39,56.7432,-0.0159,0.0726,0.0985,1.7609,358.3555
2019-01-16,11,39,56.7841,-0.0167,0.0730,0.1006,1.3737,358.3731
2019-01-16,11,39,56.8206,-0.0180,0.0730,0.1038,1.3522,358.3662
2019-01-16,11,39,56.8610,-0.0194,0.0729,0.1068,1.4094,358.2258
2019-01-16,11,39,56.8990,-0.0210,0.0727,0.1102,1.3520,358.1262
2019-01-16,11,39,56.9389,-0.0233,0.0724,0.1156,1.6332,357.9975
2019-01-16,11,39,56.9749,-0.0253,0.0710,0.1195,2.3478,358.2877
2019-01-16,11,39,57.0138,-0.0274,0.0708,0.1238,2.3931,358.8021
2019-01-16,11,39,57.0507,-0.0299,0.0720,0.1292,1.6653,358.8334
2019-01-16,11,39,57.0887,-0.0342,0.0721,0.1373,1.6203,358.8966
2019-01-16,11,39,57.1271,-0.0377,0.0708,0.1438,1.9686,358.9738
2019-01-16,11,39,57.1670,-0.0408,0.0690,0.1502,2.0723,358.9988
2019-01-16,11,39,57.2000,-0.0455,0.0663,0.1604,2.2404,359.1030
2019-01-16,11,39,57.2399,-0.0487,0.0663,0.1688,2.2168,359.4366
2019-01-16,11,39,57.2789,-0.0515,0.0664,0.1773,2.3166,359.6809
2019-01-16,11,39,57.3168,-0.0554,0.0661,0.1905,2.2625,0.0270
