date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,06.2922,0.0579,0.0553,1.4168,1.3446,0.2810
2019-01-16,11,39,06.3286,0.0545,0.0505,1.4481,0.8276,0.0079
2019-01-16,11,39,06.3661,0.0509,0.0471,1.4794,0.6657,359.7888
2019-01-16,11,39,06.4075,0.0469,0.0434,1.5098,0.1006,359.4626
2019-01-16,11,39,06.4479,0.0409,0.0401,1.5541,0.7045,359.3347
2019-01-16,11,39,06.4869,0.0365,0.0440,1.5853,1.5299,359.7657
2019-01-16,11,39,06.5253,0.0313,0.0517,1.6317,359.5054,0.1475
2019-01-16,11,39,06.5638,0.0295,0.0574,1.6627,359.5001,0.6593
2019-01-16,11,39,06.5982,0.0277,0.0612,1.6941,0.4775,0.7307
2019-01-16,11,39,06.6371,0.0264,0.0651,1.7214,1.2253,0.9035
2019-01-16,11,39,06.6716,0.0249,0.0682,1.7483,1.1100,1.1453
2019-01-16,11,39,06.7095,0.0227,0.0712,1.7891,1.0764,1.5000
2019-01-16,11,39,06.7450,0.0213,0.0703,1.8170,1.3200,1.8738
2019-01-16,11,39,06.7804,0.0198,0.0687,1.8441,1.4710,2.2074
2019-01-16,11,39,06.8149,0.0183,0.0667,1.8699,1.2896,2.3339
2019-01-16,11,39,06.8538,0.0172,0.0641,1.8959,1.0543,2.5179
2019-01-16,11,39,06.8893,0.0154,0.0597,1.9358,0.4493,2.8351
2019-01-16,11,39,06.9242,0.0145,0.0545,1.9634,0.4310,3.0878
2019-01-16,11,39,06.9621,0.0136,0.0490,1.9938,0.3187,3.4110
2019-01-16,11,39,06.9986,0.0129,0.0457,2.0221,359.9507,3.7777
2019-01-16,11,39,07.0340,0.0122,0.0431,2.0503,359.8589,3.9665
2019-01-16,11,39,07.0710,0.0115,0.0438,2.0780,0.3819,4.1101
2019-01-16,11,39,07.1084,0.0106,0.0473,2.1208,359.4585,4.1873
2019-01-16,11,39,07.1453,0.0096,0.0489,2.1515,358.5002,4.1505
2019-01-16,11,39,07.1833,0.0088,0.0512,2.1785,359.5752,3.9915
2019-01-16,11,39,07.2187,0.0075,0.0575,2.2047,359.1590,3.5972
2019-01-16,11,39,07.2567,0.0063,0.0641,2.2295,359.2669,3.2602
2019-01-16,11,39,07.2921,0.0045,0.0735,2.2681,359.3372,2.9182
2019-01-16,11,39,07.3301,0.0037,0.0787,2.2950,359.1284,2.8937
2019-01-16,11,39,07.3655,0.0033,0.0803,2.3200,359.0943,3.0442
2019-01-16,11,39,07.4035,0.0027,0.0806,2.3440,358.9020,3.2595
2019-01-16,11,39,07.4389,0.0021,0.0804,2.3799,358.8800,3.5754
