sensor,date,hour,min,sec,x,y,z
Accel,2019/01/16,11,39,53.3100,9.720459,0.29688102,1.3790601
Gyro,2019/01/16,11,39,53.3170,-0.11995648,-0.020490166,-0.1105317
Accel,2019/01/16,11,39,53.3200,9.653421,0.17238252,1.7621324
Gyro,2019/01/16,11,39,53.3230,-0.119258344,-0.027436575,-0.1081406
Accel,2019/01/16,11,39,53.3250,9.586384,0.095768064,1.7812861
Gyro,2019/01/16,11,39,53.3280,-0.11683234,-0.031503193,-0.10208431
Accel,2019/01/16,11,39,53.3290,9.691729,-0.02873042,1.982399
Gyro,2019/01/16,11,39,53.3310,-0.10716321,-0.033073988,-0.09398598
Accel,2019/01/16,11,39,53.3340,9.605537,-0.16280572,1.7812861
Gyro,2019/01/16,11,39,53.3360,-0.09622,-0.032794736,-0.08428195
Accel,2019/01/16,11,39,53.3370,9.662998,-0.15322891,1.9919758
Gyro,2019/01/16,11,39,53.3390,-0.08463102,-0.030787608,-0.07389724
Accel,2019/01/16,11,39,53.3410,9.787497,0.019153614,1.8483237
Gyro,2019/01/16,11,39,53.3430,-0.07539822,-0.029478611,-0.06538004
Accel,2019/01/16,11,39,53.3449,9.864111,0.0,1.9249382
Gyro,2019/01/16,11,39,53.3469,-0.06923721,-0.033772122,-0.05900958
Accel,2019/01/16,11,39,53.3489,9.797073,0.1340753,1.9536686
Gyro,2019/01/16,11,39,53.3510,-0.06262241,-0.03593633,-0.051766466
Accel,2019/01/16,11,39,53.3530,9.730036,0.12449849,1.8004397
Gyro,2019/01/16,11,39,53.3550,-0.056618482,-0.03715806,-0.044540804
Accel,2019/01/16,11,39,53.3560,9.701305,0.10534488,1.7812861
Gyro,2019/01/16,11,39,53.3580,0.0,0.0,0.0
Accel,2019/01/16,11,39,53.3600,9.624691,0.08619126,1.7908629
Gyro,2019/01/16,11,39,53.3620,-0.28241172,0.007592182,-0.046984263
Accel,2019/01/16,11,39,53.3630,9.691729,0.1436521,1.9440918
Gyro,2019/01/16,11,39,53.3640,-0.22834143,0.03913028,-0.040491637
