,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
0,0.0698,0.0708,0.001,0.0544,-0.0442,0.0202,0.018000000000000002,0.0007,0.0177,-0.0081,0.096,0.1039,1.6184,357.1815,-0.0026416650736960224,-0.0021103728464,0.0008355831709142531,0.037211776,-0.030234568000000003,0.013817608,0.002546814814257482,-0.0021103728464,0.0010910214933625997
1,0.1412,0.1326,-0.009000000000000001,-0.0159,0.0124,0.0255,0.0102,-0.0117,0.0198,-0.0067,0.0956,0.1094,1.9982,357.0671,-0.004617446673784627,-0.0036496169024000003,0.0029978792374600787,0.026086228000000003,-0.021558040000000004,0.031660468,0.004291267200786084,-0.0036496169024000003,0.0034439182360572087
2,0.2161,0.2375,0.021,-0.0395,-0.0069,0.0052,-0.0022,-0.0269,0.0171,-0.0036,0.0943,0.1153,2.3227,357.5297,-0.0045144043755879285,-0.0056436629746,0.005662051499665758,-0.002907561999999999,-0.026622778000000003,0.03547737199999999,0.003959161471448094,-0.0056436629746,0.006089317514514936
3,0.2865,0.2876,0.001,-0.004,0.0247,0.027000000000000003,-0.0075,-0.0274,0.0203,-0.0019,0.0938,0.1234,2.5436,357.3125,-0.004294468077651965,-0.006318218456200001,0.009485576300222894,-0.005667241999999999,-0.009581754000000005,0.054105212,0.0033820277359094793,-0.006318218456200001,0.009875427725130642
4,0.3604,0.3386,-0.022000000000000002,-0.0344,-0.0247,0.0422,-0.0146,-0.0408,0.0388,0.0014,0.0934,0.1342,2.1464,357.4159,-0.0023189715333754384,-0.008348250569400003,0.015838015916512946,-0.03058041000000001,-0.02746998800000001,0.084667296,0.0008423357612555933,-0.008348250569400003,0.01602408939649771
5,0.4308,0.4408,0.01,-0.0533,-0.0364,0.027000000000000003,-0.0511,-0.0428,0.0475,0.0057,0.0912,0.147,2.1727,357.4139,0.002089744527031153,-0.012050099119800005,0.02331653409306584,-0.06735314600000003,-0.05258307600000002,0.10329513600000001,-0.004222612802093238,-0.012050099119800005,0.023074714012015805
6,0.5002,0.4914,-0.009000000000000001,0.0094,-0.0095,0.046,-0.0537,-0.0495,0.0489,0.0109,0.0909,0.1616,1.8405,357.2598,0.005869017267102751,-0.016147767710200003,0.032848006873228044,-0.06096001800000003,-0.05904421600000002,0.134580656,-0.00889491578182398,-0.016147767710200003,0.032201677399058645
7,0.5735,0.5932,0.02,-0.0077,-0.0121,0.0227,-0.0344,-0.0562,0.0552,0.0166,0.0901,0.1778,1.8003,357.1739,0.010191585945026544,-0.021112826039200006,0.04413487254225626,-0.06649123600000004,-0.06773613000000002,0.150886974,-0.014308107067964827,-0.021112826039200006,0.04300793932007946
8,0.6489,0.6449,-0.004,-0.0459,-0.0367,0.0551,-0.042,-0.0583,0.0575,0.0239,0.0878,0.2009,1.5498,357.2422,0.017058463227112575,-0.02826485488680001,0.05892915080391453,0.0,0.0,0.41881638765335083,-0.015827490694669464,-0.021112826039200006,0.07455012187733061
9,0.7038,0.6953,-0.008,-0.0195,0.0181,0.0488,-0.0654,-0.0635,0.0449,0.0268,0.0864,0.2165,1.6696,357.0263,0.02251814976349634,-0.03293774151360001,0.07118923541750392,0.0,0.0,0.440496563911438,-0.017082059243884885,-0.021112826039200006,0.0987008193351753
10,0.7533,0.7474,-0.006,0.0116,0.0119,0.0455,-0.0464,-0.0669,0.0476,0.0284,0.0862,0.2333,1.2355,356.8838,0.027075784274922805,-0.03686525179260001,0.08333142795567748,0.0,0.0,0.44690442085266113,-0.018284623825522896,-0.021112826039200006,0.12078987759243431
11,0.8192,0.8126,-0.006999999999999999,-0.0193,-0.0275,0.0535,-0.024,-0.0629,0.0454,0.0278,0.0851,0.2582,2.3382,356.8436,0.03382686071544437,-0.04326438509540002,0.10181945024181291,0.0,0.0,0.4604516625404358,-0.01995540344691827,-0.021112826039200006,0.1510876092437527
12,0.8811,0.8637,-0.017,-0.0243,-0.0019,0.0175,-0.0208,-0.0553,0.0451,0.0274,0.087,0.2872,2.0496,357.3164,0.041191936202970514,-0.049346448208400014,0.11983148981956529,0.0,0.0,0.4852820634841919,-0.021361843538470204,-0.021112826039200006,0.18109362577227076
13,0.935,0.9163,-0.019,0.0369,-0.0103,0.0389,-0.0095,-0.0536,0.0488,0.0267,0.0872,0.3107,2.4052,356.9581,0.04639906437289234,-0.054935713058800024,0.13660565197038727,0.0,0.0,0.49626821279525757,-0.022781304597073677,-0.021112826039200006,0.20780479316415684
14,0.9864,0.9679,-0.019,0.0517,0.0388,0.0477,-0.0048,-0.0448,0.0444,0.0249,0.0865,0.3362,2.2952,356.6577,0.049872438378753166,-0.05926115669880003,0.15378247587942523,0.0,0.0,0.5080868601799011,-0.0243038755601752,-0.021112826039200006,0.2338760362464097
15,1.0388,1.0186,-0.02,0.0646,-0.0336,0.0838,0.0343,-0.0396,0.0491,0.0226,0.0828,0.3656,2.7229,356.745,0.05157654865541053,-0.06457487679160001,0.17344065406741394,0.0,0.0,0.509507954120636,-0.02581979799929783,-0.021112826039200006,0.26053118132649844
16,1.0917,1.0697,-0.022000000000000002,-0.0196,0.0399,0.0618,0.0701,-0.0539,0.0595,0.0204,0.0781,0.3987,2.8689999999999998,357.0994,0.053870706533387866,-0.0688450660422,0.1949952473825068,0.0,0.0,0.5098531246185303,-0.02718463391755333,-0.021112826039200006,0.2874678568154598
17,1.1432,1.1202,-0.023,-0.0287,0.0326,0.0599,0.0624,-0.0597,0.0578,0.0177,0.0724,0.43799999999999994,3.082,357.4173,0.056895599975254,-0.07215490378320001,0.2175556396107125,0.0,0.0,0.5248709321022034,-0.02840268077889054,-0.021112826039200006,0.3144712524524464
18,1.1951,1.1715,-0.024,0.0278,-0.008,0.055,0.0472,-0.0642,0.0549,0.0126,0.0671,0.4973,2.2782,357.7468,0.05928432561887524,-0.07570162802580002,0.2416952330921901,0.0,0.0,0.5477590560913086,-0.029520372639309265,-0.021112826039200006,0.34287796759062295
19,1.2455,1.2225,-0.023,0.0211,-0.0547,0.0706,0.0468,-0.0728,0.0591,0.0083,0.0635,0.5506,2.4502,358.1047,0.06116730485509847,-0.08050752395700002,0.2668613558114171,0.0,0.0,0.5985459089279175,-0.030518082184343768,-0.021112826039200006,0.3730281781662757
20,1.3034,1.3242,0.021,-0.027999999999999997,-0.0634,0.1127,0.0497,-0.1001,0.0472,0.0044,0.066,0.601,3.3606,358.4887,0.06434613171518123,-0.08811150235439999,0.299482866611899,0.0,0.0,0.6167314648628235,-0.0314598684620123,-0.021112826039200006,0.4087245084374992
