,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
0,0.07,0.079,0.009000000000000001,0.0011,-0.0392,0.0223,5.8176,352.6498,67.0038,-0.0178,0.0272,0.0777,5.6205,8.2854,0.000102042570029242,-0.0018823840000000004,0.0010672809533116515,0.0007546000000000001,-0.026891200000000004,0.015297800000000002,0.00020658391516464595,-0.0018823840000000004,0.0010520572253424464
1,0.1351,0.1422,0.006999999999999999,0.0149,-0.0154,0.06,6.5847,352.9875,69.1487,-0.0127,0.0247,0.0909,6.2613,7.7662,-8.847425822269425e-05,-0.0042726015892,0.004613388213878835,0.010260502,-0.036716092000000006,0.053576599999999995,0.0013397310520221186,-0.0042726015892,0.004417640522711
2,0.2002,0.1929,-0.006999999999999999,0.0631,-0.0541,0.0048,6.8608,353.5152,69.2642,-0.0099,0.0206,0.10099999999999999,9.9909,6.7715,-0.00291943579057146,-0.008909727320200001,0.008662625976879553,0.05051703999999999,-0.07123081,0.056638904,0.005040206605406605,-0.008909727320200001,0.007691346425469113
3,0.2548,0.244,-0.011000000000000001,0.025,-0.0345,0.0389,6.8921,354.0465,69.0607,-0.0072,0.0166,0.1112,10.3912,6.4583,-0.005910237667513037,-0.013806859742200006,0.013257150459645435,0.06389404,-0.08969107000000003,0.07745351600000001,0.00898235627515281,-0.013806859742200006,0.011501071752992375
4,0.315,0.2947,-0.02,0.001,0.0902,0.0308,7.4871,354.2397,69.9914,-0.0014,0.0135,0.1318,7.7725,5.8679,-0.009183308572658536,-0.016002755757800007,0.019380440041532748,0.064484,-0.03647667800000004,0.095624284,0.013432478217929197,-0.016002755757800007,0.016830619871564888
5,0.38,0.3608,-0.019,0.037000000000000005,0.0072,0.0485,7.4242,354.7781,70.3903,0.0019,0.0111,0.1477,7.4973,5.1939,-0.014138788239454084,-0.01807562382780001,0.028088518495930376,0.088053,-0.03189027800000004,0.126518784,0.019876888103591044,-0.01807562382780001,0.02450245083435025
6,0.44,0.4628,0.023,0.0493,-0.07200000000000001,-0.0019,8.2477,355.3327,71.8568,0.0049,0.0102,0.1711,7.8211,4.1678,-0.020595867221913373,-0.022529200507800013,0.03610309388802016,0.1170414,-0.07422627800000005,0.12540158399999998,0.027427634912551107,-0.022529200507800013,0.031496270272124434
7,0.4999,0.5142,0.013999999999999999,0.0515,-0.0203,-0.0017,8.0773,356.0099,71.9673,0.0072,0.0099,0.1978,8.0041,4.0001,-0.028876202787668878,-0.027689153269400017,0.04415210190917297,0.14727293000000002,-0.08614278400000006,0.12440364999999998,0.03674761602795533,-0.027689153269400017,0.03831451339001093
8,0.5651,0.5648,-0.0,0.0081,0.0904,0.0144,8.0915,356.2642,72.3399,0.01,0.0125,0.2206,7.9567,4.1997,-0.038151221794666526,-0.029539581429400018,0.053567645938338126,0.0,0.0,0.47184956073760986,0.03900059858407436,-0.027689153269400017,0.068996497536335
9,0.6199,0.6184,-0.002,0.0644,-0.005,0.0086,7.8408,357.0922,72.0447,0.0123,0.0155,0.2521,8.2483,3.9199,-0.04785888538102042,-0.031241998229400016,0.06182522949596841,0.0,0.0,0.472700834274292,0.040771443114184465,-0.027689153269400017,0.09483990330841413
